Z,Yc,omegaYc,T,N2,AR,C7H16,O2,CO2,H2O
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800.001,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800.001,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800.001,0.754253,0.01379,-0,0.231957,0,0
0,0,0,800.001,0.754253,0.01379,-0,0.231957,0,0
0,0,0,800.002,0.754253,0.01379,-0,0.231957,0,0
0,0,0,800.002,0.754253,0.01379,-0,0.231957,0,0
0,0,0,800.002,0.754253,0.01379,-0,0.231957,0,0
0,0,0,800.002,0.754253,0.01379,-0,0.231957,0,0
0,1e-06,0,800.007,0.754253,0.01379,-0,0.231957,0,0
1e-06,3.83339e-07,9.74765e-07,800.002,0.754252,0.01379,1.24861e-06,0.231956,2.61161e-07,1.22178e-07
1e-05,3.83328e-06,9.74733e-06,800.017,0.754243,0.0137898,1.24859e-05,0.231951,2.61153e-06,1.22174e-06
4.1e-05,1.57148e-05,3.99595e-05,800.071,0.754212,0.0137892,5.11891e-05,0.231932,1.07061e-05,5.00863e-06
0.000175,6.70449e-05,0.000170476,800.301,0.754077,0.0137868,0.000218435,0.231851,4.56762e-05,2.13686e-05
0.000692,0.000264652,0.000672844,801.19,0.753558,0.0137773,0.000862916,0.231537,0.000180301,8.43499e-05
0.001404,0.000535664,0.00136161,802.406,0.752845,0.0137642,0.00174845,0.231107,0.000364936,0.000170727
0.002851,0.00108246,0.00275051,804.858,0.751401,0.0137379,0.00354094,0.230237,0.000737458,0.000345003
0.005569,0.00209538,0.0053206,809.386,0.748712,0.0136887,0.00688251,0.228622,0.00142754,0.000667841
0.010194,0.00377781,0.00958124,816.865,0.744197,0.0136061,0.0124956,0.225924,0.00257374,0.00120407
0.013342,0.00489439,0.012403,821.8,0.741166,0.0135507,0.0162662,0.224123,0.00333444,0.00155994
0.017181,0.006226,0.0157618,827.654,0.737514,0.0134839,0.0208126,0.221963,0.00424164,0.00198436
0.021732,0.00776347,0.0196309,834.367,0.733245,0.0134059,0.0261323,0.219453,0.00528908,0.00247438
0.02699,0.00948673,0.0239555,841.83,0.728388,0.0133171,0.0321901,0.216618,0.0064631,0.00302362
0.032932,0.0113691,0.0286642,849.905,0.72299,0.0132183,0.0389299,0.213493,0.00774555,0.00362358
0.039524,0.0133812,0.0336783,858.44,0.717105,0.0131108,0.0462858,0.210117,0.0091163,0.00426485
0.046721,0.0154916,0.0389155,867.277,0.710795,0.0129954,0.0541842,0.206534,0.0105541,0.00493748
0.050457,0.0165534,0.0415414,871.676,0.707563,0.0129363,0.0582339,0.204713,0.0112775,0.0052759
0.05237,0.0170885,0.0428623,873.88,0.705919,0.0129062,0.0602949,0.203791,0.011642,0.00544645
0.054328,0.0176303,0.0441981,876.102,0.704244,0.0128756,0.062396,0.202854,0.0120111,0.00561912
0.056336,0.0181798,0.0455512,878.347,0.702533,0.0128443,0.064542,0.201901,0.0123855,0.00579426
0.058397,0.0187375,0.0469225,880.616,0.700786,0.0128123,0.0667358,0.200929,0.0127654,0.00597202
0.062711,0.0198846,0.0497373,885.25,0.697152,0.0127459,0.0712996,0.198918,0.0135469,0.00633762
0.067278,0.0210699,0.0526371,889.991,0.693339,0.0126762,0.0760916,0.196823,0.0143545,0.00671541
0.072133,0.0222984,0.0556327,894.852,0.689323,0.0126028,0.081144,0.194632,0.0151914,0.00710695
0.094983,0.0276759,0.0686169,915.414,0.670865,0.0122653,0.104424,0.18477,0.018855,0.00882087
0.161875,0.0402611,0.0979321,957.187,0.619713,0.01133,0.169453,0.159243,0.027429,0.012832
0.213369,0.0474218,0.113586,974.223,0.581949,0.0106396,0.217935,0.142055,0.0323075,0.0151143
0.284517,0.0544439,0.127526,980.206,0.530706,0.00970268,0.284317,0.12083,0.0370915,0.0173523
0.331327,0.0574868,0.132604,974.445,0.497206,0.00909019,0.328058,0.108159,0.0391646,0.0183222
0.387532,0.0596559,0.135004,958.447,0.457015,0.00835539,0.380863,0.0941108,0.0406423,0.0190135
0.454904,0.0602924,0.133223,927.427,0.408799,0.00747387,0.444647,0.0787873,0.0410759,0.0192164
0.534688,0.058513,0.125508,875.774,0.351656,0.00642915,0.520803,0.062599,0.0398637,0.0186492
0.626207,0.0534098,0.110516,799.101,0.286166,0.00523184,0.608761,0.0464311,0.036387,0.0170228
0.724808,0.0446104,0.0885986,698.401,0.215686,0.0039433,0.704154,0.0316058,0.0303921,0.0142182
0.821628,0.0328218,0.0624665,582.44,0.145812,0.00266582,0.799407,0.0192933,0.0223608,0.010461
0.866256,0.0262622,0.0489715,522.581,0.112705,0.00206054,0.844754,0.014218,0.0178918,0.00837029
0.905662,0.0197529,0.03616,465.316,0.0823876,0.00150626,0.886392,0.00996121,0.0134572,0.00629564
0.938398,0.0137036,0.0246971,413.554,0.055893,0.00102187,0.92286,0.00652202,0.00933594,0.00436762
0.963399,0.00857896,0.015275,370.573,0.0344249,0.000629379,0.952458,0.00390889,0.00584465,0.00273429
0.98042,0.00477381,0.00842926,339.082,0.0189511,0.000346477,0.973817,0.00211213,0.00325228,0.00152151
0.990494,0.00237645,0.00417535,319.401,0.00937542,0.000171408,0.987043,0.00103342,0.00161902,0.000757423
0.995659,0.00109986,0.00192749,308.966,0.00432544,7.90807e-05,0.994022,0.000474078,0.000749311,0.00035055
0.998,0.000509887,0.000892528,304.154,0.00200238,3.6609e-05,0.997232,0.000218901,0.000347374,0.000162512
