Z,Yc,omegaYc,T,N2,AR,C7H16,O2,CO2,H2O
-0.000000,0.000000,0.000000,800.000000,0.754253,0.013790,-0.000000,0.231957,0.000000,0.000000
-0.000000,0.000000,0.000000,800.000000,0.754253,0.013790,-0.000000,0.231957,0.000000,0.000000
-0.000000,0.000000,0.000000,800.000000,0.754253,0.013790,-0.000000,0.231957,0.000000,0.000000
-0.000000,0.000000,0.000000,800.000000,0.754253,0.013790,-0.000000,0.231957,0.000000,0.000000
-0.000000,0.000000,0.000000,800.000000,0.754253,0.013790,-0.000000,0.231957,0.000000,0.000000
-0.000000,0.000000,0.000000,800.000000,0.754253,0.013790,-0.000000,0.231957,0.000000,0.000000
-0.000000,0.000000,0.000000,800.000000,0.754253,0.013790,-0.000000,0.231957,0.000000,0.000000
-0.000000,0.000000,0.000000,800.000000,0.754253,0.013790,-0.000000,0.231957,0.000000,0.000000
0.000000,0.000000,0.000000,800.000000,0.754253,0.013790,-0.000000,0.231957,0.000000,0.000000
0.000000,0.000000,0.000000,800.000000,0.754253,0.013790,-0.000000,0.231957,0.000000,0.000000
0.000000,0.000000,0.000000,800.000000,0.754253,0.013790,-0.000000,0.231957,0.000000,0.000000
0.000000,0.000000,0.000000,800.000004,0.754253,0.013790,-0.000000,0.231957,0.000000,0.000000
0.000000,0.000000,0.000000,800.000159,0.754253,0.013790,-0.000000,0.231957,0.000000,0.000000
0.000000,0.000000,0.000000,800.004830,0.754253,0.013790,-0.000000,0.231957,0.000000,0.000000
0.000001,0.000005,0.000000,800.046238,0.754252,0.013790,-0.000000,0.231954,0.000003,0.000001
0.000011,0.000048,0.000000,800.475627,0.754245,0.013789,-0.000000,0.231918,0.000033,0.000015
0.000042,0.000191,0.000000,801.905186,0.754221,0.013789,-0.000000,0.231799,0.000130,0.000061
0.000180,0.000811,0.000000,808.047633,0.754117,0.013787,-0.000000,0.231285,0.000552,0.000258
0.000708,0.003195,0.000000,831.302722,0.753719,0.013780,-0.000000,0.229306,0.002177,0.001018
0.001434,0.006472,0.000000,862.655006,0.753171,0.013770,-0.000000,0.226587,0.004409,0.002063
0.002908,0.013125,0.000000,924.073962,0.752059,0.013749,-0.000000,0.221067,0.008942,0.004183
0.005671,0.025590,0.000000,1033.011405,0.749976,0.013711,-0.000000,0.210723,0.017434,0.008156
0.010360,0.046753,0.000000,1205.457857,0.746439,0.013647,-0.000000,0.193162,0.031852,0.014901
0.013545,0.061122,0.000000,1320.136701,0.744037,0.013603,-0.000000,0.181238,0.041641,0.019481
0.017423,0.078625,0.000000,1454.743475,0.741112,0.013549,-0.000000,0.166714,0.053566,0.025059
0.022014,0.099343,0.000000,1608.048101,0.737649,0.013486,-0.000000,0.149522,0.067680,0.031663
0.027313,0.123255,0.000000,1778.113975,0.733652,0.013413,-0.000000,0.129680,0.083971,0.039284
0.033296,0.150255,0.000000,1962.586201,0.729139,0.013330,-0.000000,0.107275,0.102366,0.047889
0.039927,0.180181,0.000000,2158.950528,0.724138,0.013239,-0.000000,0.082443,0.122754,0.057427
0.047164,0.212839,0.301235,2364.731054,0.718679,0.013139,0.000000,0.055343,0.145003,0.067836
0.050918,0.229142,2.712227,2466.072863,0.715848,0.013087,0.000141,0.041782,0.156110,0.073032
0.052828,0.236042,3.078976,2507.649234,0.714407,0.013061,0.000522,0.035968,0.160811,0.075231
0.054778,0.242043,3.033196,2542.408860,0.712936,0.013034,0.001142,0.030844,0.164899,0.077144
0.056773,0.247160,2.807407,2570.523424,0.711432,0.013007,0.002003,0.026398,0.168385,0.078775
0.058818,0.251465,2.505593,2592.539684,0.709889,0.012978,0.003094,0.022573,0.171318,0.080147
0.063091,0.257944,1.880655,2620.424747,0.706666,0.012920,0.005932,0.016539,0.175732,0.082212
0.067612,0.262282,1.338951,2632.191469,0.703257,0.012857,0.009491,0.012113,0.178688,0.083595
0.072416,0.265092,0.914738,2632.255226,0.699633,0.012791,0.013672,0.008812,0.180602,0.084490
0.095005,0.265627,0.246411,2548.534231,0.682595,0.012479,0.036143,0.003156,0.180966,0.084660
0.161269,0.248858,0.038706,2215.833469,0.632615,0.011566,0.106123,0.000838,0.169542,0.079316
0.212431,0.234140,0.013629,1995.089603,0.594027,0.010860,0.160546,0.000427,0.159515,0.074625
0.283160,0.213298,0.005079,1734.024550,0.540679,0.009885,0.235894,0.000244,0.145316,0.067982
0.329711,0.199499,0.002975,1589.022167,0.505567,0.009243,0.285503,0.000188,0.135915,0.063584
0.385622,0.182888,0.001685,1434.400618,0.463396,0.008472,0.345095,0.000149,0.124598,0.058290
0.452671,0.162945,0.000878,1271.372696,0.412825,0.007547,0.416563,0.000120,0.111011,0.051934
0.532134,0.139295,0.000386,1102.261637,0.352889,0.006452,0.501267,0.000097,0.094899,0.044396
0.623425,0.112118,0.000123,931.313387,0.284033,0.005193,0.598580,0.000076,0.076384,0.035734
0.722003,0.082769,0.000023,763.904700,0.209680,0.003833,0.703662,0.000056,0.056389,0.026380
