Z,Yc,omegaYc,T,N2,AR,C7H16,O2,CO2,H2O
-0.000000,0.000000,0.000000,800.000000,0.754253,0.013790,-0.000000,0.231957,0.000000,0.000000
-0.000000,0.000000,0.000000,800.000000,0.754253,0.013790,-0.000000,0.231957,0.000000,0.000000
-0.000000,0.000000,0.000000,800.000000,0.754253,0.013790,-0.000000,0.231957,0.000000,0.000000
-0.000000,0.000000,0.000000,800.000000,0.754253,0.013790,-0.000000,0.231957,0.000000,0.000000
-0.000000,0.000000,0.000000,800.000000,0.754253,0.013790,-0.000000,0.231957,0.000000,0.000000
-0.000000,0.000000,0.000000,800.000000,0.754253,0.013790,-0.000000,0.231957,0.000000,0.000000
-0.000000,0.000000,0.000000,800.000000,0.754253,0.013790,-0.000000,0.231957,0.000000,0.000000
-0.000000,0.000000,0.000000,800.000000,0.754253,0.013790,-0.000000,0.231957,0.000000,0.000000
-0.000000,0.000000,0.000000,800.000000,0.754253,0.013790,-0.000000,0.231957,0.000000,0.000000
0.000000,0.000000,0.000000,800.000000,0.754253,0.013790,-0.000000,0.231957,0.000000,0.000000
0.000000,0.000000,0.000000,800.000000,0.754253,0.013790,-0.000000,0.231957,0.000000,0.000000
0.000000,0.000000,0.000000,800.000004,0.754253,0.013790,-0.000000,0.231957,0.000000,0.000000
0.000000,0.000000,0.000000,800.000129,0.754253,0.013790,-0.000000,0.231957,0.000000,0.000000
0.000000,0.000000,0.000000,800.003944,0.754253,0.013790,-0.000000,0.231957,0.000000,0.000000
0.000001,0.000004,0.000000,800.037954,0.754252,0.013790,-0.000000,0.231954,0.000003,0.000001
0.000009,0.000040,0.000000,800.393116,0.754246,0.013789,-0.000000,0.231925,0.000027,0.000013
0.000035,0.000160,0.000000,801.585804,0.754226,0.013789,-0.000000,0.231825,0.000109,0.000051
0.000152,0.000685,0.000000,806.759782,0.754138,0.013787,-0.000000,0.231389,0.000467,0.000218
0.000604,0.002726,0.000000,826.596825,0.753797,0.013781,-0.000000,0.229696,0.001857,0.000869
0.001233,0.005566,0.000000,853.746646,0.753323,0.013773,-0.000000,0.227339,0.003792,0.001774
0.002527,0.011405,0.000000,907.804896,0.752347,0.013755,-0.000000,0.222493,0.007770,0.003635
0.004991,0.022524,0.000000,1005.597336,0.750488,0.013721,-0.000000,0.213267,0.015345,0.007179
0.009256,0.041769,0.000000,1163.863230,0.747272,0.013662,-0.000000,0.197297,0.028457,0.013313
0.012203,0.055067,0.000000,1270.970959,0.745049,0.013621,-0.000000,0.186263,0.037516,0.017551
0.015831,0.071442,0.000000,1398.169242,0.742312,0.013571,-0.000000,0.172674,0.048672,0.022770
0.020170,0.091019,0.000000,1544.539332,0.739040,0.013511,-0.000000,0.156429,0.062010,0.029010
0.025220,0.113810,0.000000,1708.359422,0.735231,0.013442,-0.000000,0.137518,0.077536,0.036273
0.030964,0.139715,3.095470,1887.261300,0.730898,0.013363,0.000004,0.116021,0.095185,0.044530
0.037370,0.166398,9.148836,2063.726657,0.726066,0.013274,0.000497,0.093764,0.113364,0.053034
0.044439,0.189700,10.880449,2208.835096,0.720735,0.013177,0.002402,0.073986,0.129239,0.060461
0.048196,0.199474,10.796942,2266.546362,0.717901,0.013125,0.003993,0.065507,0.135898,0.063576
0.050142,0.203898,10.606632,2291.661931,0.716434,0.013098,0.004958,0.061612,0.138912,0.064986
0.052144,0.208037,10.342313,2314.316191,0.714923,0.013071,0.006044,0.057926,0.141731,0.066305
0.054206,0.211895,10.019935,2334.567451,0.713368,0.013042,0.007251,0.054444,0.144360,0.067535
0.056331,0.215480,9.653668,2352.485251,0.711765,0.013013,0.008581,0.051161,0.146802,0.068678
0.060794,0.221884,8.833658,2381.592428,0.708399,0.012951,0.011625,0.045141,0.151165,0.070719
0.065536,0.227317,7.959260,2402.452941,0.704822,0.012886,0.015164,0.039811,0.154867,0.072450
0.070586,0.231862,7.084523,2415.750661,0.701013,0.012816,0.019206,0.035103,0.157963,0.073899
0.094528,0.242052,4.205698,2400.350589,0.682955,0.012486,0.040890,0.021617,0.164905,0.077147
0.164820,0.236350,1.474028,2140.830416,0.629937,0.011517,0.112445,0.009750,0.161021,0.075330
0.218404,0.224482,0.784505,1937.026325,0.589521,0.010778,0.168660,0.006559,0.152935,0.071547
0.292378,0.204940,0.393598,1683.607248,0.533726,0.009758,0.246963,0.004613,0.139621,0.065318
0.341000,0.191384,0.260639,1540.559774,0.497053,0.009087,0.298590,0.003886,0.130386,0.060998
0.399362,0.174758,0.160048,1387.065563,0.453033,0.008283,0.360636,0.003291,0.119059,0.055699
0.469188,0.154614,0.086073,1224.863157,0.400367,0.007320,0.434926,0.002774,0.105335,0.049279
0.551539,0.130699,0.036808,1056.859677,0.338253,0.006184,0.522576,0.002287,0.089043,0.041656
0.645072,0.103461,0.010701,887.871732,0.267706,0.004894,0.622145,0.001794,0.070486,0.032975
0.744246,0.074555,0.001647,723.720769,0.192903,0.003527,0.727725,0.001290,0.050793,0.023762
