Z,Yc,omegaYc,T,N2,AR,C7H16,O2,CO2,H2O
-0.000000,0.000000,0.000000,800.000000,0.754253,0.013790,-0.000000,0.231957,0.000000,0.000000
-0.000000,0.000000,0.000000,800.000000,0.754253,0.013790,-0.000000,0.231957,0.000000,0.000000
-0.000000,0.000000,0.000000,800.000000,0.754253,0.013790,-0.000000,0.231957,0.000000,0.000000
-0.000000,0.000000,0.000000,800.000000,0.754253,0.013790,-0.000000,0.231957,0.000000,0.000000
-0.000000,0.000000,0.000000,800.000000,0.754253,0.013790,-0.000000,0.231957,0.000000,0.000000
-0.000000,0.000000,0.000000,800.000000,0.754253,0.013790,-0.000000,0.231957,0.000000,0.000000
-0.000000,0.000000,0.000000,800.000000,0.754253,0.013790,-0.000000,0.231957,0.000000,0.000000
-0.000000,0.000000,0.000000,800.000000,0.754253,0.013790,-0.000000,0.231957,0.000000,0.000000
0.000000,0.000000,0.000000,800.000000,0.754253,0.013790,-0.000000,0.231957,0.000000,0.000000
0.000000,0.000000,0.000000,800.000000,0.754253,0.013790,-0.000000,0.231957,0.000000,0.000000
0.000000,0.000000,0.000000,800.000000,0.754253,0.013790,-0.000000,0.231957,0.000000,0.000000
0.000000,0.000000,0.000000,800.000003,0.754253,0.013790,-0.000000,0.231957,0.000000,0.000000
0.000000,0.000000,0.000000,800.000095,0.754253,0.013790,-0.000000,0.231957,0.000000,0.000000
0.000000,0.000000,0.000000,800.002907,0.754253,0.013790,-0.000000,0.231957,0.000000,0.000000
0.000001,0.000003,0.000000,800.028197,0.754252,0.013790,-0.000000,0.231955,0.000002,0.000001
0.000007,0.000030,0.000000,800.295033,0.754248,0.013789,-0.000000,0.231932,0.000021,0.000010
0.000027,0.000123,0.000000,801.202547,0.754232,0.013789,-0.000000,0.231855,0.000084,0.000039
0.000118,0.000533,0.000000,805.194663,0.754164,0.013788,-0.000000,0.231515,0.000363,0.000170
0.000476,0.002150,0.000000,820.778134,0.753894,0.013783,-0.000000,0.230173,0.001465,0.000685
0.000984,0.004442,0.000000,842.564815,0.753511,0.013776,-0.000000,0.228271,0.003026,0.001416
0.002048,0.009240,0.000000,886.950457,0.752709,0.013761,-0.000000,0.224290,0.006295,0.002945
0.004118,0.018582,0.000000,969.537481,0.751147,0.013733,-0.000000,0.216538,0.012659,0.005922
0.007802,0.035206,0.000000,1107.590267,0.748369,0.013682,-0.000000,0.202743,0.023985,0.011221
0.010414,0.046997,0.000000,1203.528823,0.746398,0.013646,-0.000000,0.192959,0.032018,0.014979
0.013687,0.061767,0.000000,1319.553707,0.743929,0.013601,-0.000000,0.180703,0.042081,0.019686
0.017661,0.079688,2.138092,1455.171878,0.740932,0.013546,0.000003,0.165832,0.054290,0.025398
0.022350,0.100095,7.235233,1603.767329,0.737395,0.013481,0.000169,0.148859,0.068193,0.031902
0.027758,0.121288,11.759652,1751.835943,0.733316,0.013407,0.000881,0.131108,0.082631,0.038657
0.033912,0.141793,15.000191,1888.328649,0.728675,0.013322,0.002491,0.113719,0.096601,0.045192
0.040865,0.160567,16.578088,2005.762783,0.723430,0.013226,0.005284,0.097493,0.109391,0.051176
0.044621,0.168957,16.798726,2055.704032,0.720598,0.013174,0.007181,0.090091,0.115107,0.053850
0.046578,0.172892,16.789936,2078.350195,0.719121,0.013147,0.008266,0.086574,0.117788,0.055104
0.048599,0.176667,16.709641,2099.421093,0.717597,0.013119,0.009451,0.083167,0.120359,0.056307
0.050687,0.180278,16.564589,2118.908884,0.716022,0.013091,0.010738,0.079871,0.122820,0.057458
0.052844,0.183726,16.361715,2136.812200,0.714395,0.013061,0.012131,0.076687,0.125169,0.058557
0.057395,0.190157,15.804066,2167.908316,0.710963,0.012998,0.015257,0.070625,0.129550,0.060607
0.062252,0.195939,15.091524,2192.861137,0.707300,0.012931,0.018832,0.064998,0.133489,0.062450
0.067439,0.201082,14.272126,2211.813042,0.703387,0.012860,0.022880,0.059792,0.136993,0.064089
0.078968,0.209543,12.458137,2232.341739,0.694691,0.012701,0.032533,0.050531,0.142758,0.066786
0.092147,0.215710,10.595141,2231.690458,0.684751,0.012519,0.044347,0.042674,0.146959,0.068751
0.167110,0.218106,5.024786,2028.100124,0.628210,0.011485,0.118778,0.023421,0.148591,0.069515
0.224097,0.208862,3.073420,1840.989802,0.585227,0.010699,0.177815,0.017397,0.142294,0.066569
0.303013,0.190719,1.679127,1596.901070,0.525704,0.009611,0.260750,0.013215,0.129933,0.060786
0.354954,0.177465,1.132149,1456.828015,0.486528,0.008895,0.315629,0.011484,0.120903,0.056562
0.417347,0.160873,0.686134,1305.610777,0.439468,0.008035,0.381697,0.009927,0.109600,0.051273
0.491780,0.140610,0.348648,1145.630222,0.383326,0.007008,0.460621,0.008434,0.095795,0.044815
0.578923,0.116607,0.132899,981.101688,0.317599,0.005806,0.553083,0.006905,0.079442,0.037165
0.676029,0.089741,0.031700,817.163016,0.244356,0.004467,0.656142,0.005293,0.061139,0.028602
