Z,Yc,omegaYc,T,N2,AR,C7H16,O2,CO2,H2O
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
0,0,0,800.004,0.754253,0.01379,-0,0.231957,0,0
0,2e-06,0,800.017,0.754253,0.01379,-0,0.231956,1e-06,1e-06
2e-06,4.46662e-08,0.000100287,799.998,0.754251,0.01379,2.6576e-06,0.231956,3.04088e-08,1.42655e-08
1.1e-05,2.45531e-07,0.000551235,799.988,0.754242,0.0137898,1.46115e-05,0.231953,1.67158e-07,7.84176e-08
2.5e-05,5.57552e-07,0.0012516,799.973,0.754228,0.0137895,3.3189e-05,0.231949,3.79583e-07,1.78071e-07
6.4e-05,1.42399e-06,0.00319555,799.932,0.754189,0.0137888,8.48305e-05,0.231936,9.69454e-07,4.5479e-07
0.000159,3.51768e-06,0.00788778,799.832,0.754094,0.0137871,0.000209954,0.231905,2.39486e-06,1.12346e-06
0.000382,8.34128e-06,0.0186694,799.599,0.753874,0.0137831,0.000500062,0.231834,5.67887e-06,2.66392e-06
0.000598,1.2897e-05,0.0288145,799.377,0.753665,0.0137792,0.000776493,0.231766,8.78056e-06,4.11875e-06
0.000942,1.99305e-05,0.0444025,799.03,0.753338,0.0137732,0.00120813,0.23166,1.35693e-05,6.36467e-06
0.001479,3.04103e-05,0.0674521,798.503,0.752843,0.0137641,0.00186289,0.2315,2.07049e-05,9.71074e-06
0.002306,4.55029e-05,0.100248,797.719,0.752109,0.0137507,0.00283255,0.231262,3.09819e-05,1.45288e-05
0.003554,6.62823e-05,0.144558,796.588,0.751055,0.0137314,0.00422578,0.230922,4.51325e-05,2.11608e-05
0.005405,9.36713e-05,0.201286,794.99,0.749574,0.0137042,0.00618265,0.230445,6.37865e-05,2.98996e-05
0.008105,0.000128328,0.269966,792.758,0.747522,0.0136667,0.00889592,0.229787,8.73939e-05,4.09529e-05
0.009895,0.000148772,0.308677,791.311,0.7462,0.0136425,0.0106439,0.229365,0.000101322,4.74713e-05
0.010931,0.000159877,0.329102,790.48,0.745443,0.0136286,0.0116453,0.229123,0.000108887,5.10112e-05
0.012076,0.000171612,0.350209,789.563,0.74461,0.0136134,0.0127468,0.228858,0.000116882,5.47517e-05
0.013338,0.00018396,0.371872,788.554,0.743695,0.0135966,0.013957,0.228567,0.000125295,5.86873e-05
0.014729,0.000196932,0.394007,787.442,0.742688,0.0135782,0.0152889,0.228248,0.000134134,6.28214e-05
0.01793,0.00022458,0.438961,784.874,0.74037,0.0135358,0.0183562,0.227513,0.000152972,7.16314e-05
0.021761,0.000254257,0.483634,781.776,0.737582,0.0134848,0.0220465,0.226633,0.000173192,8.10865e-05
0.026331,0.000285609,0.526443,778.044,0.734228,0.0134234,0.0264859,0.225577,0.000194554,9.10749e-05
0.038074,0.000350201,0.597851,768.338,0.725496,0.0132637,0.0380493,0.222841,0.00023856,0.000111652
0.045547,0.000381875,0.622456,762.138,0.719887,0.0131611,0.0454783,0.221092,0.000260136,0.000121743
0.054362,0.000412021,0.63717,754.854,0.71325,0.0130398,0.0542713,0.219027,0.00028067,0.000131348
0.076729,0.000463602,0.631296,736.676,0.696381,0.0127313,0.0766243,0.213799,0.000315804,0.000147784
0.10697,0.000498703,0.575769,712.98,0.673571,0.0123143,0.106859,0.206757,0.000339717,0.000158972
0.200668,0.000507057,0.348727,645.724,0.602449,0.011014,0.201152,0.184878,0.000345419,0.000161657
0.270697,0.000476542,0.218024,602.025,0.549943,0.0100541,0.270771,0.168755,0.000324587,0.000151939
0.313653,0.000452887,0.158972,577.273,0.517633,0.00946342,0.313614,0.158837,0.000308442,0.000144396
0.36274,0.000423436,0.1083,550.736,0.480664,0.00878757,0.362634,0.14749,0.000288365,0.000134999
0.418294,0.000388433,0.068025,522.694,0.438776,0.00802179,0.418178,0.134636,0.000264526,0.00012382
0.480322,0.000348095,0.0389659,493.604,0.391989,0.00716643,0.480218,0.120278,0.000237083,0.000110926
0.548285,0.000303134,0.0200913,464.007,0.340722,0.00622918,0.548198,0.104547,0.00020651,9.65594e-05
0.620665,0.000254798,0.00937288,434.641,0.286129,0.0052311,0.62059,0.0877955,0.000173639,8.11184e-05
0.69497,0.000204999,0.00385113,406.306,0.230114,0.00420706,0.694866,0.0706079,0.000139757,6.52235e-05
0.767719,0.000156308,0.00147063,380.003,0.175432,0.0032074,0.767374,0.0538294,0.000106596,4.97053e-05
0.834664,0.000111545,0.000511906,356.664,0.125184,0.00228882,0.834004,0.0384113,7.60686e-05,3.54741e-05
0.891465,7.29412e-05,0.000168452,336.952,0.0818628,0.00149688,0.891449,0.0251186,4.97e-05,2.32407e-05
0.934903,4.37345e-05,5.62614e-05,322.168,0.0490981,0.000897908,0.934895,0.0150651,2.97338e-05,1.40005e-05
0.964265,2.40303e-05,1.99467e-05,312.208,0.0269995,0.000493875,0.964198,0.00828442,1.62846e-05,7.74569e-06
