Z,Yc,omegaYc,T,N2,AR,C7H16,O2,CO2,H2O
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
0,0,0,800.002,0.754253,0.01379,-0,0.231957,0,0
0,2e-06,0,800.021,0.754253,0.01379,-0,0.231956,2e-06,1e-06
5e-06,1.64541e-05,0.0014492,800.122,0.754248,0.0137899,3.02184e-06,0.231943,1.121e-05,5.24433e-06
2.1e-05,6.90564e-05,0.00608228,800.511,0.754232,0.0137896,1.26848e-05,0.231897,4.70472e-05,2.201e-05
9.3e-05,0.000304815,0.02685,802.256,0.75416,0.0137883,5.60397e-05,0.231691,0.000207666,9.71519e-05
0.000381,0.0012328,0.108638,809.122,0.753875,0.0137831,0.000227439,0.230881,0.000839887,0.000392923
0.000795,0.00252743,0.222856,818.69,0.753477,0.0137758,0.000468623,0.229751,0.0017219,0.000805553
0.001678,0.00515367,0.454974,838.059,0.752663,0.0137608,0.000965771,0.227457,0.00351112,0.0016426
0.00343,0.00994019,0.879488,873.209,0.751157,0.0137332,0.00190208,0.223268,0.0067721,0.00316817
0.006627,0.0177275,1.57394,929.925,0.748634,0.0136869,0.00352206,0.21643,0.0120775,0.00565017
0.008951,0.0229189,2.03904,967.379,0.746894,0.0136551,0.00467741,0.211854,0.0156142,0.00730477
0.01191,0.0291795,2.60143,1012.15,0.744731,0.0136155,0.00615903,0.206316,0.0198794,0.00930014
0.015563,0.0365441,3.26376,1064.23,0.742085,0.0135671,0.00803463,0.199769,0.0248968,0.0116474
0.019957,0.0450156,4.0244,1123.34,0.738897,0.0135088,0.0103836,0.192195,0.0306682,0.0143474
0.025133,0.0545423,4.87472,1188.75,0.73511,0.0134395,0.0132934,0.183615,0.0371586,0.0173838
0.031139,0.0650138,5.79789,1259.26,0.73067,0.0133583,0.0168604,0.174098,0.0442926,0.0207212
0.038042,0.0762691,6.76902,1333.28,0.72552,0.0132642,0.0211941,0.163753,0.0519606,0.0243085
0.041811,0.0820595,7.25685,1370.57,0.722694,0.0132125,0.0236572,0.158377,0.0559055,0.026154
0.043784,0.0849911,7.50006,1389.24,0.721212,0.0131854,0.0249721,0.155639,0.0579027,0.0270884
0.045827,0.0879553,7.74308,1407.95,0.719677,0.0131574,0.0263515,0.152859,0.0599221,0.0280331
0.047944,0.0909507,7.98544,1426.69,0.718084,0.0131282,0.0277993,0.150038,0.0619628,0.0289878
0.050135,0.0939703,8.22616,1445.4,0.716434,0.0130981,0.029317,0.14718,0.06402,0.0299502
0.054778,0.100103,8.70262,1482.82,0.712936,0.0130342,0.0325957,0.141331,0.0681983,0.031905
0.059752,0.106285,9.16325,1519.67,0.709187,0.0129656,0.0361975,0.135366,0.0724094,0.033875
0.065085,0.112483,9.60164,1555.65,0.705165,0.0128921,0.0401563,0.129304,0.0766324,0.0358507
0.077004,0.124841,10.386,1623.95,0.696174,0.0127277,0.0493377,0.11692,0.0850515,0.0397893
0.090698,0.136739,10.9863,1684.16,0.685844,0.0125389,0.0603962,0.104482,0.0931573,0.0435814
0.169901,0.172493,10.4807,1785.15,0.625523,0.0114362,0.132448,0.0581001,0.117516,0.054977
0.230249,0.176278,8.21605,1708.08,0.580196,0.0106075,0.191705,0.0412139,0.120095,0.0561835
0.314257,0.167547,5.22645,1534.73,0.517199,0.00945573,0.277162,0.0286366,0.114146,0.0534006
0.369708,0.15758,3.73274,1411.31,0.475412,0.00869175,0.334773,0.0235442,0.107356,0.0502238
0.436326,0.143269,2.42196,1266.21,0.425176,0.00777329,0.404548,0.0192343,0.0976062,0.0456627
0.515568,0.124488,1.38281,1104.42,0.365402,0.00668048,0.487959,0.0154707,0.0848114,0.039677
0.607266,0.10158,0.666732,933.183,0.296236,0.00541596,0.584736,0.0120316,0.0692046,0.0323757
0.707182,0.0759875,0.260087,762.691,0.220903,0.00403865,0.690285,0.00878585,0.0517687,0.0242187
0.806637,0.0503664,0.0785501,604.499,0.146227,0.00267333,0.794968,0.00576442,0.0343136,0.0160528
0.894211,0.0274951,0.0180996,467.552,0.0797916,0.00145865,0.888118,0.00313634,0.018732,0.00876325
0.930009,0.0181922,0.00782366,411.684,0.0527895,0.000964974,0.92598,0.00207382,0.0123941,0.00579821
0.957835,0.0109665,0.00325036,367.835,0.0318208,0.00058162,0.955381,0.00124974,0.0074714,0.00349528
0.977208,0.00599718,0.00133494,337.328,0.0174011,0.000318015,0.9756,0.000683314,0.00408585,0.00191148
0.988968,0.00305143,0.000563364,319.073,0.00885372,0.000161784,0.987585,0.000347635,0.00207895,0.000972619
0.995149,0.00145751,0.000242774,309.131,0.00422893,7.72665e-05,0.99407,0.000166033,0.000993017,0.000464586
0.998009,0.000642493,0.000101923,304.03,0.00186418,3.40581e-05,0.997386,7.31863e-05,0.000437742,0.000204802
0.999205,0.000267132,4.15117e-05,301.676,0.000775076,1.416e-05,0.998913,3.04283e-05,0.000182003,8.51523e-05
0.999921,2.73037e-05,4.19056e-06,300.171,7.92208e-05,1.44727e-06,0.999889,3.11004e-06,1.86026e-05,8.7035e-06
