Z,Yc,omegaYc,T,N2,AR,C7H16,O2,CO2,H2O
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
0,0,0,800.004,0.754253,0.01379,-0,0.231957,0,0
1e-06,3.77058e-06,9.58267e-05,800.028,0.754252,0.01379,4.98264e-07,0.231954,2.56881e-06,1.20175e-06
8e-06,3.0155e-05,0.000766385,800.223,0.754245,0.0137899,3.9852e-06,0.231931,2.05439e-05,9.61097e-06
3.4e-05,0.000128008,0.00325354,800.945,0.754219,0.0137894,1.69228e-05,0.231847,8.72087e-05,4.07985e-05
0.000146,0.000546921,0.0139054,804.037,0.754107,0.0137873,7.24089e-05,0.231486,0.000372605,0.000174314
0.000581,0.00213589,0.0543707,815.755,0.753682,0.0137795,0.000284373,0.230119,0.00145513,0.000680747
0.001189,0.0042653,0.108759,831.433,0.753108,0.013769,0.000572352,0.228285,0.00290585,0.00135943
0.002443,0.00838051,0.214407,861.642,0.75199,0.0137485,0.00114279,0.224738,0.00570945,0.00267103
0.00484,0.0155047,0.399059,913.632,0.750018,0.0137124,0.00217951,0.218586,0.010563,0.00494165
0.009007,0.0265415,0.689453,993.311,0.746853,0.0136545,0.00392944,0.209022,0.0180822,0.0084593
0.011899,0.0336424,0.878757,1043.98,0.744738,0.0136158,0.00515946,0.202844,0.0229198,0.0107225
0.01547,0.042036,1.10449,1103.26,0.742152,0.0135684,0.00672841,0.195515,0.0286382,0.0133977
0.01975,0.0517035,1.36634,1170.68,0.739048,0.0135116,0.00870179,0.187035,0.0352245,0.0164789
0.024743,0.0625307,1.66072,1245.08,0.735397,0.0134449,0.0111431,0.177484,0.0426009,0.0199298
0.030432,0.0742989,1.98022,1324.56,0.731195,0.013368,0.0141068,0.167032,0.0506183,0.0236805
0.036789,0.0867132,2.31423,1406.7,0.726457,0.0132814,0.0176368,0.155912,0.0590759,0.0276372
0.043842,0.0995509,2.65293,1489.63,0.721169,0.0131847,0.0218035,0.144292,0.0678219,0.0317288
0.047605,0.105995,2.819,1530.41,0.718339,0.0131329,0.0241273,0.138406,0.0722121,0.0337826
0.049557,0.109227,2.90101,1550.63,0.71687,0.0131061,0.0253591,0.135438,0.0744144,0.0348129
0.051568,0.11248,2.98252,1570.81,0.715355,0.0130784,0.0266464,0.13244,0.0766301,0.0358495
0.05364,0.115749,3.06333,1590.91,0.713794,0.0130498,0.0279917,0.129416,0.0788571,0.0368913
0.055776,0.119032,3.14325,1610.93,0.712184,0.0130204,0.0293984,0.126365,0.0810942,0.0379379
0.060267,0.125656,3.30009,1650.7,0.708798,0.0129585,0.0324198,0.120168,0.0856067,0.0400489
0.065044,0.132295,3.45038,1689.7,0.705196,0.0128926,0.0357251,0.113892,0.0901297,0.0421649
0.070133,0.138923,3.59202,1727.66,0.701357,0.0128225,0.0393454,0.107552,0.0946454,0.0442775
0.094314,0.16473,4.02186,1863.31,0.683117,0.012489,0.0578097,0.0818546,0.112227,0.0525026
0.165473,0.201661,3.67262,1972.49,0.628899,0.0114978,0.121509,0.0364335,0.137387,0.0642732
0.219653,0.205441,2.76088,1895.04,0.588059,0.0107512,0.174817,0.0209311,0.139963,0.0654782
0.294463,0.195545,1.57992,1712.68,0.53209,0.00972791,0.251215,0.0114225,0.133221,0.0623239
0.343631,0.184971,1.06333,1583.15,0.495065,0.00905096,0.302647,0.00826641,0.126017,0.058954
0.402646,0.170273,0.64834,1431.88,0.450575,0.00823754,0.364889,0.00602563,0.116003,0.0542694
0.47321,0.151238,0.354054,1263.16,0.397354,0.00726449,0.439668,0.00447485,0.103036,0.0482027
0.556325,0.127893,0.171841,1082.95,0.334658,0.00611826,0.527965,0.00336572,0.0871311,0.0407623
0.650436,0.100985,0.0715421,899.538,0.263687,0.00482079,0.628021,0.00248556,0.0687991,0.0321861
0.74975,0.072399,0.0244094,722.883,0.188866,0.00345297,0.733554,0.00172703,0.0493243,0.0230753
0.844532,0.0451374,0.00672167,563.896,0.11771,0.0021521,0.833936,0.00106464,0.0307516,0.0143864
0.886965,0.0326953,0.0031329,492.29,0.0852567,0.00155876,0.87972,0.000769203,0.0222749,0.0104208
0.92335,0.0221715,0.00139264,431.456,0.0578122,0.00105697,0.918438,0.000520889,0.0151052,0.0070666
0.952371,0.0137799,0.000592795,382.402,0.0359303,0.000656892,0.949309,0.000323464,0.00938811,0.00439206
0.973307,0.00777498,0.000247153,346.836,0.0202727,0.000370636,0.971399,0.000182389,0.00529705,0.00247819
0.986564,0.00406419,0.000105005,324.61,0.0105971,0.000193754,0.985049,9.52877e-05,0.00276894,0.00129548
0.993823,0.00201571,4.62117e-05,312.243,0.00525582,9.61048e-05,0.992585,4.72407e-05,0.00137332,0.000642543
0.997297,0.000950654,2.05486e-05,305.783,0.00247877,4.53281e-05,0.996503,2.22745e-05,0.000647694,0.000303045
0.998788,0.000446419,9.40548e-06,302.717,0.00116401,2.12864e-05,0.998358,1.04588e-05,0.000304153,0.000142309
