Z,Yc,omegaYc,T,N2,AR,C7H16,O2,CO2,H2O
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800.001,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800.001,0.754253,0.01379,-0,0.231957,0,0
0,0,0,800.001,0.754253,0.01379,-0,0.231957,0,0
0,0,0,800.001,0.754253,0.01379,-0,0.231957,0,0
0,0,0,800.001,0.754253,0.01379,-0,0.231957,0,0
0,0,0,800.001,0.754253,0.01379,-0,0.231957,0,0
0,0,0,800.004,0.754253,0.01379,-0,0.231957,0,0
1e-06,1.8432e-06,4.99216e-05,800.012,0.754252,0.01379,9.25266e-07,0.231955,1.25574e-06,5.87468e-07
8e-06,1.4744e-05,0.000399328,800.096,0.754245,0.0137899,7.40155e-06,0.231943,1.00449e-05,4.69923e-06
3.2e-05,5.89538e-05,0.00159669,800.385,0.754221,0.0137894,2.95983e-05,0.231901,4.01643e-05,1.87898e-05
0.000136,0.000250146,0.00677457,801.633,0.754116,0.0137875,0.000125647,0.23172,0.000170421,7.9727e-05
0.000545,0.000996096,0.0269712,806.499,0.753708,0.01378,0.000501257,0.231014,0.000678624,0.000317477
0.001119,0.00202743,0.0548811,813.221,0.753143,0.0137697,0.00102289,0.230037,0.00138126,0.000646187
0.002308,0.00410928,0.111169,826.771,0.751994,0.0137487,0.00208437,0.228064,0.00279959,0.00130971
0.004593,0.00792418,0.21412,851.526,0.749866,0.0137097,0.00406092,0.22444,0.00539861,0.0025256
0.008595,0.0141143,0.380553,891.475,0.74634,0.0136452,0.00736406,0.218537,0.00961586,0.00449853
0.011391,0.0181383,0.488264,917.283,0.743994,0.0136023,0.00958242,0.214683,0.0123574,0.00578107
0.014859,0.022854,0.613924,947.351,0.741185,0.0135509,0.0122614,0.210149,0.0155701,0.00728406
0.019033,0.0281996,0.755522,981.185,0.737915,0.0134911,0.0154118,0.204982,0.0192119,0.00898781
0.02392,0.0340908,0.910367,1018.14,0.734196,0.0134231,0.0190375,0.199253,0.0232255,0.0108655
0.029506,0.0404376,1.07555,1057.54,0.730039,0.013347,0.0231419,0.193034,0.0275494,0.0128883
0.035776,0.0471668,1.24855,1098.81,0.725445,0.013263,0.0277413,0.186383,0.0321339,0.015033
0.04277,0.0542697,1.4284,1141.77,0.720367,0.0131702,0.032901,0.179292,0.036973,0.0172969
0.046516,0.0579225,1.51965,1163.6,0.717655,0.0131206,0.0356871,0.175615,0.0394615,0.0184611
0.048461,0.0597808,1.56573,1174.64,0.716247,0.0130948,0.0371414,0.173736,0.0407276,0.0190534
0.050466,0.0616703,1.61232,1185.81,0.714796,0.0130683,0.0386464,0.171819,0.0420149,0.0196556
0.052533,0.0635911,1.65941,1197.12,0.7133,0.0130409,0.0402045,0.169863,0.0433235,0.0202678
0.054665,0.0655444,1.707,1208.56,0.711756,0.0130127,0.0418189,0.167868,0.0446542,0.0208904
0.059152,0.0695654,1.80399,1231.94,0.708502,0.0129532,0.0452414,0.163738,0.0473936,0.0221719
0.063927,0.0737154,1.90261,1255.8,0.705032,0.0128898,0.048922,0.15944,0.050221,0.0234946
0.069016,0.0779973,2.00265,1280.11,0.701325,0.012822,0.0528891,0.154967,0.0531381,0.0248593
0.080286,0.0869815,2.20617,1330.07,0.693073,0.0126711,0.0618378,0.145436,0.0592589,0.0277228
0.093136,0.096419,2.40895,1380.8,0.6836,0.0124979,0.0723065,0.135176,0.0656885,0.0307307
0.16548,0.134998,3.03375,1558.32,0.629514,0.0115091,0.135466,0.0885132,0.0919715,0.0430266
0.220513,0.150516,3.05228,1596.71,0.58816,0.010753,0.186854,0.0637161,0.102544,0.0479726
0.296555,0.157969,2.70184,1560.9,0.531225,0.00971214,0.260689,0.0404055,0.107621,0.0503478
0.346559,0.156557,2.35648,1501.48,0.493918,0.00903007,0.310464,0.0300313,0.106659,0.0498978
0.406598,0.150468,1.91055,1408.74,0.44961,0.00822004,0.370556,0.0211451,0.102511,0.0479571
0.478355,0.14145,1.52419,1290.82,0.394131,0.00720575,0.44611,0.0111026,0.0963672,0.045083
0.56274,0.119612,0.728329,1097.5,0.321848,0.00588425,0.546783,0.00587258,0.0814889,0.0381226
0.657862,0.0951207,0.504751,920.13,0.257874,0.00471465,0.637028,0.00526229,0.0648037,0.0303168
0.757506,0.0683818,0.247034,731.195,0.182559,0.00333771,0.742808,0.00291398,0.046587,0.0217946
0.851629,0.0421294,0.09905,559.966,0.111872,0.00204538,0.842342,0.0016105,0.0287018,0.0134274
0.893312,0.0304307,0.0584969,486.45,0.0806689,0.0014749,0.886304,0.00112081,0.0207317,0.00969879
0.928663,0.0206008,0.033182,425.623,0.0545455,0.000997281,0.923118,0.000738678,0.0140348,0.00656581
0.956433,0.0129907,0.0181317,378.987,0.0343686,0.000628378,0.951555,0.000457361,0.00885023,0.00414034
0.976059,0.00756448,0.00951744,345.921,0.020003,0.000365722,0.971803,0.000263256,0.00515349,0.00241092
0.988182,0.00400189,0.00471718,324.274,0.0105794,0.000193425,0.985087,0.000138351,0.00272639,0.00127547
0.994659,0.00191252,0.00217635,311.597,0.0050552,9.24248e-05,0.992874,6.5895e-05,0.00130295,0.000609552
0.997695,0.000852851,0.000954527,305.17,0.00225412,4.12122e-05,0.996822,2.9339e-05,0.000581025,0.000271818
