Z,Yc,omegaYc,T,N2,AR,C7H16,O2,CO2,H2O
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
0,0,0,800.002,0.754253,0.01379,-0,0.231957,0,0
0,2e-06,0,800.021,0.754253,0.01379,-0,0.231956,2e-06,1e-06
5e-06,8.10843e-06,0.000601769,800.053,0.754248,0.0137899,4.87148e-06,0.231949,5.52413e-06,2.58434e-06
2.1e-05,3.40468e-05,0.00252676,800.222,0.754232,0.0137896,2.04565e-05,0.231924,2.31955e-05,1.08515e-05
9.3e-05,0.000150608,0.0111768,800.982,0.75416,0.0137883,9.05191e-05,0.231811,0.000102607,4.80021e-05
0.000381,0.000614234,0.0455744,804.005,0.753872,0.013783,0.000369638,0.231362,0.000418467,0.00019577
0.000795,0.00127351,0.0944652,808.3,0.753461,0.0137755,0.000767781,0.230722,0.000867621,0.000405897
0.001678,0.00265251,0.196641,817.274,0.752599,0.0137597,0.00160538,0.229384,0.00180711,0.000845416
0.00343,0.00528764,0.391535,834.382,0.750937,0.0137293,0.00322495,0.226821,0.00360238,0.00168529
0.006627,0.00979689,0.723842,863.525,0.748045,0.0136764,0.00605939,0.222422,0.00667445,0.00312249
0.008951,0.012871,0.949413,883.289,0.746036,0.0136396,0.00804189,0.219411,0.00876879,0.00410228
0.01191,0.0165802,1.22039,907.013,0.743567,0.0135944,0.0104936,0.215765,0.0112958,0.00528446
0.015563,0.0208963,1.53387,934.437,0.740626,0.0135406,0.0134365,0.211501,0.0142363,0.00666012
0.019957,0.0257761,1.8856,965.187,0.737204,0.013478,0.0168916,0.20665,0.0175608,0.00821541
0.025133,0.0311762,2.27106,998.874,0.733286,0.0134064,0.0208895,0.201242,0.0212398,0.00993654
0.031139,0.0370683,2.68649,1035.19,0.728837,0.013325,0.0254824,0.195287,0.0252539,0.0118145
0.038042,0.0434443,3.12918,1073.93,0.723797,0.0132328,0.0307525,0.188774,0.0295977,0.0138466
0.041811,0.046775,3.35727,1093.92,0.721062,0.0131828,0.0336406,0.18534,0.0318669,0.0149082
0.043784,0.0484804,3.47316,1104.09,0.719632,0.0131566,0.0351576,0.183573,0.0330288,0.0154517
0.045827,0.0502203,3.59073,1114.42,0.718153,0.0131296,0.0367329,0.181764,0.0342141,0.0160063
0.047944,0.0519962,3.71002,1124.9,0.716621,0.0131016,0.0383706,0.17991,0.035424,0.0165723
0.050135,0.0538063,3.83085,1135.54,0.715036,0.0130726,0.0400716,0.178014,0.0366572,0.0171492
0.054778,0.0575527,4.07834,1157.36,0.711674,0.0130111,0.0436985,0.174064,0.0392095,0.0183432
0.059752,0.0614375,4.33108,1179.72,0.708067,0.0129452,0.0476201,0.169931,0.0418561,0.0195814
0.065085,0.0654621,4.58838,1202.58,0.70419,0.0128743,0.0518683,0.165605,0.044598,0.0208641
0.077004,0.0739587,5.11461,1249.72,0.695482,0.0127151,0.0615304,0.156314,0.0503865,0.0235722
0.090698,0.082912,5.63986,1297.54,0.685402,0.0125308,0.0729102,0.146245,0.0564863,0.0264258
0.169901,0.119603,7.24703,1460.9,0.626192,0.0114483,0.143282,0.0994748,0.0814833,0.03812
0.230249,0.133499,7.25628,1486.81,0.580852,0.0106194,0.200315,0.0747148,0.0909503,0.0425489
0.314257,0.139023,6.33337,1436.25,0.518035,0.00947098,0.282375,0.0510965,0.0947137,0.0443096
0.369708,0.13657,5.46401,1369.49,0.476765,0.00871648,0.337634,0.0403143,0.0930423,0.0435276
0.436326,0.131132,4.41868,1281.96,0.431998,0.00789803,0.398192,0.0307799,0.0893376,0.0417944
0.515568,0.118286,3.09117,1137.02,0.362818,0.00663324,0.492758,0.0195043,0.0805858,0.0377001
0.607266,0.0968005,1.97792,965.54,0.296085,0.00541316,0.585995,0.015706,0.0659482,0.0308523
0.707182,0.0738571,1.07934,788.434,0.220188,0.00402554,0.691705,0.0102245,0.0503173,0.0235397
0.806637,0.0493853,0.500792,617.927,0.145681,0.00266333,0.79591,0.00636025,0.0336452,0.0157401
0.894211,0.0272905,0.193895,472.747,0.0799995,0.00146249,0.887888,0.00335955,0.0185926,0.00869807
0.930009,0.0183068,0.111244,415.308,0.0535611,0.00097913,0.924931,0.00222182,0.0124721,0.00583479
0.957835,0.0114147,0.061117,371.679,0.0333535,0.000609702,0.95325,0.00137215,0.00777666,0.00363815
0.977208,0.00655556,0.0320479,341.096,0.01914,0.000349867,0.973171,0.000783346,0.00446623,0.00208944
0.988968,0.00340405,0.0157279,321.321,0.00993424,0.000181587,0.986075,0.000405394,0.00231915,0.00108498
0.995149,0.00158146,0.00709054,309.901,0.00461424,8.43418e-05,0.993532,0.00018802,0.00107744,0.000504064
0.998009,0.000669847,0.00296152,304.193,0.00195422,3.572e-05,0.997261,7.95767e-05,0.000456361,0.000213502
0.999205,0.000271386,0.00119283,301.699,0.000791711,1.44712e-05,0.99889,3.223e-05,0.000184894,8.64999e-05
0.999921,2.72154e-05,0.0001192,300.17,7.93932e-05,1.45117e-06,0.999889,3.23151e-06,1.85417e-05,8.67447e-06
