Z,Yc,omegaYc,T,N2,AR,C7H16,O2,CO2,H2O
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
0,0,0,800.005,0.754253,0.01379,-0,0.231957,0,0
1e-06,2.00376e-06,2.56013e-06,800.013,0.754252,0.01379,8.89691e-07,0.231955,1.36511e-06,6.38631e-07
1.1e-05,2.20379e-05,2.81569e-05,800.144,0.754242,0.0137898,9.78553e-06,0.231936,1.50139e-05,7.02384e-06
4.3e-05,8.61049e-05,0.000110011,800.562,0.75421,0.0137892,3.8239e-05,0.231877,5.86614e-05,2.74431e-05
0.000181,0.000361664,0.000462052,802.362,0.754071,0.0137867,0.000160716,0.23162,0.000246393,0.000115268
0.000712,0.00141111,0.00180241,809.211,0.753543,0.013777,0.000628608,0.23064,0.000961361,0.000449746
0.001443,0.0028287,0.003612,818.454,0.752827,0.0137639,0.00126435,0.229316,0.00192713,0.000901555
0.002924,0.0056111,0.00716039,836.564,0.751411,0.013738,0.00252515,0.226715,0.00382272,0.00178835
0.005699,0.0105398,0.0134335,868.53,0.748868,0.0136915,0.00480403,0.222097,0.00718056,0.00335923
0.010406,0.0182139,0.0231619,917.987,0.744811,0.0136173,0.00848243,0.214876,0.0124087,0.00580508
0.0136,0.0230341,0.0292432,948.834,0.742193,0.0135694,0.0108845,0.210319,0.0156926,0.00734138
0.017488,0.0285704,0.0361941,984.035,0.739114,0.013513,0.0137409,0.205062,0.0194644,0.0091059
0.022089,0.0347424,0.0438933,1022.97,0.735578,0.0134484,0.0170603,0.199171,0.0236693,0.011073
0.027398,0.0414557,0.0521977,1064.92,0.731599,0.0133756,0.0208488,0.192721,0.0282429,0.0132127
0.033389,0.0486107,0.0609539,1109.15,0.727188,0.0132949,0.0251111,0.185795,0.0331175,0.0154932
0.040028,0.0561158,0.0700156,1154.96,0.722354,0.0132065,0.0298565,0.178467,0.0382305,0.0178852
0.04727,0.0638772,0.0792322,1201.67,0.717109,0.0131106,0.0350911,0.170812,0.0435182,0.0203589
0.051026,0.0677477,0.0837617,1224.69,0.714391,0.0130609,0.0378371,0.166964,0.0461551,0.0215925
0.052936,0.0696781,0.0860026,1236.11,0.713008,0.0130356,0.0392426,0.165036,0.0474702,0.0222078
0.054885,0.0716224,0.0882468,1247.55,0.711596,0.0130098,0.0406834,0.163088,0.0487949,0.0228275
0.056877,0.0735837,0.090497,1259.05,0.710153,0.0129834,0.042163,0.161117,0.050131,0.0234526
0.058917,0.0755655,0.0927565,1270.61,0.708673,0.0129564,0.0436857,0.15912,0.0514812,0.0240842
0.063178,0.07962,0.0973315,1294.11,0.705577,0.0128998,0.0468913,0.155012,0.0542435,0.0253765
0.067685,0.0837867,0.101962,1318,0.702296,0.0128398,0.0503191,0.150759,0.0570822,0.0267045
0.072476,0.0880823,0.106654,1342.36,0.698797,0.0127758,0.054005,0.146339,0.0600087,0.0280736
0.095002,0.106509,0.12563,1443.27,0.682219,0.0124727,0.0719015,0.126898,0.0725625,0.0339466
0.161137,0.145178,0.154747,1625.23,0.632777,0.0115688,0.128883,0.0815927,0.0989068,0.0462711
0.212235,0.161745,0.155674,1672.9,0.594377,0.0108668,0.176124,0.0568878,0.110193,0.0515512
0.282875,0.170611,0.137981,1648.68,0.541438,0.00989893,0.244346,0.0337059,0.116234,0.054377
0.329362,0.170021,0.120163,1595.17,0.506806,0.00926578,0.290393,0.0235142,0.115832,0.0541892
0.38519,0.164556,0.0974215,1506.67,0.465339,0.00850766,0.346581,0.0150159,0.112109,0.0524473
0.452135,0.156208,0.0584565,1395.39,0.416819,0.0076206,0.41276,0.00659279,0.106421,0.0497865
0.531477,0.137366,0.0420235,1216.37,0.349421,0.00638839,0.506292,0.000532473,0.0935846,0.0437812
0.622657,0.110174,0.0232881,1016.04,0.28446,0.00520073,0.598444,0.0017208,0.0750594,0.0351146
0.72118,0.08239,0.0119176,816.381,0.209741,0.00383467,0.703665,0.000369553,0.0561306,0.0262593
0.818302,0.0539173,0.0041059,629.479,0.136915,0.00250318,0.806528,0.00013647,0.0367327,0.0171844
0.863236,0.0406553,0.0022511,546.218,0.103161,0.00188604,0.854218,7.9244e-05,0.0276977,0.0129576
0.903053,0.0289513,0.00119433,474.216,0.0734261,0.00134236,0.896235,4.51166e-05,0.0197239,0.00922726
0.936284,0.0193193,0.000617902,415.768,0.0489815,0.000895422,0.930778,2.51985e-05,0.0131618,0.00615734
0.961824,0.012017,0.000314271,371.831,0.0304613,0.000556819,0.956951,1.37684e-05,0.00818692,0.00382997
0.97936,0.00690883,0.000156891,341.242,0.0175108,0.000320067,0.975253,7.27221e-06,0.00470683,0.00220192
0.989839,0.00363488,7.57754e-05,321.684,0.0092122,0.000168374,0.986981,3.64354e-06,0.00247636,0.00115847
0.995263,0.00177999,3.54868e-05,310.616,0.00451104,8.2447e-05,0.993625,1.7406e-06,0.00121266,0.000567296
0.997741,0.000872166,1.70356e-05,305.201,0.00221031,4.03966e-05,0.996876,8.43384e-07,0.000594187,0.000277966
