Z,Yc,omegaYc,T,N2,AR,C7H16,O2,CO2,H2O
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
0,0,0,800.005,0.754253,0.01379,-0,0.231957,0,0
1e-06,2.91098e-08,1.68694e-07,800,0.754252,0.01379,1.09818e-06,0.231957,1.98319e-08,9.27786e-09
1e-05,2.91094e-07,1.68692e-06,799.996,0.754245,0.0137898,1.09818e-05,0.231954,1.98317e-07,9.27776e-08
3.9e-05,1.13523e-06,6.57876e-06,799.985,0.754221,0.0137894,4.28287e-05,0.231946,7.73407e-07,3.61819e-07
0.000166,4.83122e-06,2.79974e-05,799.938,0.754115,0.0137875,0.00018229,0.231911,3.29142e-06,1.53981e-06
0.000655,1.90513e-05,0.000110403,799.754,0.753707,0.01378,0.000719172,0.231774,1.29793e-05,6.07202e-06
0.001333,3.87386e-05,0.000224488,799.5,0.753143,0.0137697,0.00146331,0.231585,2.63918e-05,1.23468e-05
0.002716,7.87935e-05,0.00045659,798.981,0.751992,0.0137487,0.00298029,0.2312,5.36804e-05,2.51131e-05
0.005329,0.000154093,0.00089288,797.999,0.74982,0.013709,0.00584309,0.230474,0.00010498,4.91124e-05
0.009805,0.00028193,0.00163346,796.316,0.746108,0.0136411,0.0107369,0.229233,0.000192073,8.98566e-05
0.012869,0.000368606,0.00213551,795.163,0.743572,0.0135947,0.0140796,0.228385,0.000251124,0.000117482
0.016621,0.000473828,0.00274489,793.749,0.740473,0.0135381,0.018165,0.22735,0.00032281,0.000151019
0.021084,0.00059768,0.00346203,792.064,0.736795,0.0134708,0.0230132,0.226123,0.000407188,0.000190493
0.026256,0.000739438,0.00428267,790.109,0.732545,0.0133931,0.0286164,0.224706,0.000503765,0.000235674
0.032116,0.000897772,0.00519904,787.89,0.727745,0.0133053,0.0349457,0.223106,0.000611634,0.000286138
0.038631,0.00107098,0.0062012,785.418,0.722427,0.0132081,0.0419585,0.221336,0.000729637,0.000341342
0.045758,0.00125707,0.00727761,782.708,0.71663,0.0131021,0.049602,0.219408,0.00085642,0.000400655
0.049499,0.00135335,0.00783436,781.282,0.713597,0.0130467,0.0536026,0.218401,0.000922013,0.000431341
0.051428,0.00140262,0.00811923,780.547,0.712035,0.0130181,0.0556623,0.217882,0.00095558,0.000447044
0.053409,0.00145296,0.00841022,779.79,0.710433,0.0129888,0.0577754,0.21735,0.00098987,0.000463086
0.055445,0.00150441,0.00870764,779.013,0.708788,0.0129588,0.0599449,0.216804,0.00102492,0.000479484
0.057539,0.00155703,0.0090118,778.212,0.707098,0.0129279,0.0621739,0.216243,0.00106077,0.000496255
0.06193,0.0016664,0.00964392,776.532,0.70356,0.0128632,0.06684,0.21507,0.00113529,0.000531115
0.066587,0.00178098,0.0103059,774.747,0.699817,0.0127947,0.0717775,0.21383,0.00121334,0.000567633
0.07154,0.00190123,0.0110006,772.846,0.695846,0.0127221,0.077016,0.212515,0.00129527,0.00060596
0.094918,0.0024468,0.0141501,763.823,0.677234,0.0123818,0.101571,0.206367,0.00166696,0.000779844
0.163327,0.00384135,0.0221815,736.942,0.623912,0.011407,0.171956,0.188883,0.00261704,0.00122432
0.215709,0.00471496,0.0271946,715.824,0.584067,0.0106785,0.22459,0.175949,0.00321221,0.00150275
0.288038,0.00565898,0.0325872,685.801,0.530159,0.00969285,0.295853,0.158636,0.00385535,0.00180363
0.335603,0.00612054,0.0352079,665.449,0.495256,0.00905472,0.342026,0.147543,0.0041698,0.00195074
0.392707,0.00651326,0.0374193,640.312,0.453771,0.00829625,0.39694,0.134479,0.00443735,0.00207591
0.461105,0.00675737,0.0387624,609.086,0.404472,0.0073949,0.462248,0.119128,0.00460366,0.00215371
0.541969,0.00673354,0.0385555,570.409,0.34639,0.00633301,0.539258,0.101285,0.00458743,0.00214612
0.634342,0.0062947,0.0359676,523.565,0.279783,0.00511523,0.627665,0.0811425,0.00428845,0.00200625
0.733182,0.00533296,0.030404,469.789,0.207484,0.00379339,0.723733,0.0596569,0.00363324,0.00169972
0.82932,0.00389174,0.0221387,413.228,0.135339,0.00247437,0.819703,0.0385918,0.00265137,0.00124038
0.873214,0.00306003,0.0173899,385.807,0.101564,0.00185687,0.864667,0.0288522,0.00208474,0.000975294
0.911615,0.00223899,0.0127128,360.905,0.0714854,0.00130695,0.904727,0.0202412,0.00152538,0.000713613
0.943119,0.00149808,0.00849979,339.795,0.0463919,0.000848172,0.938161,0.0131009,0.00102062,0.00047747
0.966767,0.000900822,0.00510827,323.522,0.0272837,0.000498821,0.963627,0.00768941,0.000613712,0.00028711
0.982514,0.000483065,0.00273831,312.474,0.0144208,0.000263652,0.980774,0.00405885,0.000329103,0.000153963
0.991609,0.00023435,0.00132816,306.013,0.0069386,0.000126857,0.990749,0.00195143,0.000159658,7.46922e-05
0.996171,0.000107524,0.00060932,302.75,0.00317053,5.7966e-05,0.995773,0.000891342,7.3254e-05,3.42701e-05
