Z,Yc,omegaYc,T,N2,AR,C7H16,O2,CO2,H2O
-0,-0,0,800,0.754253,0.01379,-0,0.231957,-0,-0
-0,-0,0,800,0.754253,0.01379,-0,0.231957,-0,-0
-0,-0,0,800,0.754253,0.01379,-0,0.231957,-0,-0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
0,0,0,800.005,0.754253,0.01379,-0,0.231957,0,0
1e-06,4e-06,0,800.044,0.754252,0.01379,-0,0.231954,3e-06,1e-06
1e-05,5.26972e-05,0.000288034,800.416,0.754243,0.0137898,1.64905e-06,0.231913,3.59019e-05,1.67951e-05
4e-05,0.000210189,0.00114947,801.661,0.754213,0.0137893,6.58399e-06,0.231781,0.000143199,6.69894e-05
0.000171,0.000887742,0.00486618,807.011,0.754084,0.0137869,2.79287e-05,0.231214,0.000604806,0.000282933
0.000677,0.00336962,0.0186359,826.574,0.753608,0.0137781,0.000107792,0.229136,0.00229567,0.00107393
0.001374,0.00651857,0.0364881,851.311,0.753003,0.013767,0.000213325,0.226499,0.00444101,0.00207755
0.002795,0.0123431,0.0707497,896.79,0.751871,0.0137462,0.000422804,0.221617,0.00840915,0.00393391
0.005468,0.0223177,0.133379,973.794,0.749896,0.01371,0.000830871,0.213245,0.0152047,0.00711299
0.010033,0.0384912,0.245088,1096.35,0.746582,0.0136493,0.00164029,0.199637,0.0262234,0.0122678
0.013147,0.0492763,0.325904,1176.59,0.744288,0.0136074,0.00229191,0.190536,0.033571,0.0157053
0.016952,0.062143,0.428259,1270.78,0.741452,0.0135555,0.00320173,0.179648,0.0423368,0.0198061
0.021469,0.0768401,0.552223,1376.36,0.738058,0.0134934,0.0044437,0.167165,0.0523496,0.0244904
0.026696,0.0929389,0.695199,1489.46,0.734119,0.0134214,0.00609923,0.153422,0.0633175,0.0296214
0.032609,0.109904,0.851688,1605.61,0.729659,0.0133399,0.00825334,0.138844,0.0748753,0.0350285
0.039175,0.127177,1.01367,1720.42,0.724706,0.0132493,0.0109926,0.123876,0.086643,0.0405337
0.04635,0.144199,1.17105,1829.72,0.719294,0.0131504,0.014396,0.108962,0.0982397,0.0459589
0.050088,0.15232,1.24343,1880.32,0.716474,0.0130989,0.0163344,0.101773,0.103773,0.0485474
0.052008,0.15648,1.27695,1905.98,0.714977,0.0130715,0.0173972,0.098074,0.106607,0.0498733
0.053978,0.160583,1.31413,1930.99,0.713459,0.0130437,0.0185013,0.0944134,0.109402,0.051181
0.056,0.164672,1.34498,1955.64,0.711878,0.0130149,0.0196903,0.0907449,0.112188,0.052484
0.058078,0.168897,1.38338,1980.93,0.710225,0.0129846,0.0209459,0.0869477,0.115066,0.0538307
0.062429,0.176462,1.43891,2024.44,0.706955,0.0129249,0.0236049,0.0800534,0.12022,0.0562418
0.067041,0.183822,1.48347,2065.32,0.70349,0.0128615,0.0265685,0.0732585,0.125234,0.0585876
0.071942,0.190939,1.52126,2103.3,0.699808,0.0127942,0.0298721,0.0665859,0.130083,0.0608561
0.095038,0.215791,1.54022,2216.1,0.682456,0.012477,0.0473716,0.0419045,0.147015,0.0687769
0.162588,0.235798,0.868847,2173.84,0.631627,0.0115477,0.110327,0.0107001,0.160644,0.0751532
0.214448,0.228502,0.420184,2006.82,0.592515,0.0108326,0.1638,0.00435102,0.155674,0.0728279
0.286067,0.210391,0.143494,1762.19,0.538496,0.00984495,0.239432,0.00183552,0.143336,0.0670559
0.333172,0.197099,0.0736297,1615.21,0.502967,0.00919539,0.289482,0.00125582,0.13428,0.0628195
0.389729,0.18069,0.0370857,1455.82,0.460309,0.00841553,0.349674,0.000910237,0.123101,0.0575896
0.457506,0.160777,0.0179427,1286.63,0.409189,0.00748098,0.421864,0.000688994,0.109535,0.0512431
0.537729,0.137072,0.00806911,1110.51,0.34868,0.00637476,0.50734,0.000533446,0.0933843,0.0436876
0.629615,0.109852,0.00309005,932.111,0.279374,0.00510763,0.605258,0.000407447,0.0748404,0.0350122
0.728353,0.0805755,0.000902312,758.394,0.2049,0.00374604,0.710485,0.000293218,0.0548947,0.025681
0.824932,0.0519294,0.000180462,597.96,0.132051,0.00241422,0.813418,0.000187916,0.0353785,0.0165509
0.869268,0.0387836,6.72927e-05,525.142,0.0986219,0.00180309,0.860651,0.000140232,0.0264225,0.012361
0.908254,0.0272336,2.25754e-05,460.473,0.0692517,0.00126617,0.90215,9.84649e-05,0.0185538,0.00867986
0.940459,0.0177105,6.95614e-06,406.03,0.0450357,0.000823471,0.936367,6.40633e-05,0.0120659,0.0056447
0.964862,0.0104222,2.0452e-06,363.291,0.0265025,0.00048459,0.962553,3.77195e-05,0.00710048,0.00332175
0.981312,0.0055456,6.25798e-07,334.038,0.0141019,0.000257784,0.980075,2.00851e-05,0.00377812,0.00176746
0.990941,0.00273191,2.13361e-07,316.88,0.00694699,0.000126919,0.990184,9.90626e-06,0.00186118,0.000870686
0.995831,0.00133562,8.51781e-08,308.282,0.00339634,6.20117e-05,0.995201,4.84849e-06,0.000909919,0.000425675
0.99803,0.000680855,3.94814e-08,304.228,0.00173133,3.15983e-05,0.997554,2.4732e-06,0.000463843,0.000216995
