Z,Yc,omegaYc,T,N2,AR,C7H16,O2,CO2,H2O
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
0,0,0,800.004,0.754253,0.01379,-0,0.231957,0,0
1e-06,4e-06,0,800.038,0.754252,0.01379,-0,0.231954,3e-06,1e-06
9e-06,4.61979e-05,0.000848555,800.365,0.754244,0.0137898,1.75772e-06,0.231918,3.14739e-05,1.47241e-05
3.5e-05,0.000179212,0.0032931,801.418,0.754218,0.0137894,6.82424e-06,0.231807,0.000122094,5.71182e-05
0.000152,0.000769836,0.0141724,806.088,0.754102,0.0137872,2.9424e-05,0.231311,0.000524476,0.000245361
0.000604,0.00294368,0.0545789,823.251,0.753675,0.0137794,0.000114134,0.229488,0.00200548,0.000938206
0.001233,0.00574432,0.107545,845.297,0.753121,0.0137692,0.000227166,0.227138,0.00391351,0.00183082
0.002527,0.0109782,0.209543,886.275,0.752077,0.01375,0.000451881,0.222743,0.00747924,0.00349895
0.004991,0.0199949,0.395023,956.148,0.750242,0.0137164,0.000886321,0.21516,0.0136221,0.00637275
0.009256,0.0346635,0.722027,1067.88,0.74715,0.0136597,0.00173614,0.202791,0.0236156,0.0110479
0.012203,0.0445328,0.957773,1141.76,0.744987,0.0136202,0.00241687,0.194443,0.0303393,0.0141935
0.015831,0.0563919,1.25573,1229.19,0.74229,0.0135709,0.00336435,0.184383,0.0384187,0.0179732
0.02017,0.0700422,1.61592,1328.01,0.739036,0.0135114,0.00465413,0.172757,0.0477184,0.0223239
0.02522,0.0850778,2.02981,1434.53,0.735232,0.0134418,0.00636558,0.159883,0.0579618,0.027116
0.030964,0.100997,2.48103,1544.51,0.730899,0.0133626,0.00858172,0.146159,0.0688076,0.0321899
0.03737,0.117264,2.94618,1653.63,0.726067,0.0132743,0.011384,0.132011,0.0798896,0.0373744
0.044439,0.133443,3.39953,1758.48,0.720735,0.0131768,0.0148682,0.117777,0.0909121,0.042531
0.048196,0.141313,3.61137,1807.98,0.717901,0.013125,0.0168814,0.11078,0.0962738,0.0450393
0.050142,0.145197,3.71268,1832,0.716433,0.0130981,0.0179668,0.107305,0.0989198,0.0462772
0.052144,0.149247,3.81568,1856.9,0.71488,0.0130697,0.0191282,0.103675,0.101679,0.047568
0.054206,0.15345,3.92657,1882.65,0.713221,0.0130394,0.0203973,0.0998929,0.104542,0.0489075
0.056331,0.157149,4.01418,1904.51,0.711646,0.0130106,0.0216656,0.0965294,0.107062,0.0500864
0.060794,0.165039,4.18556,1950.77,0.708178,0.0129472,0.0245149,0.0893208,0.112438,0.0526013
0.065536,0.172283,4.32364,1991.23,0.704618,0.0128821,0.0276301,0.0825876,0.117373,0.0549099
0.070586,0.179299,4.43599,2028.8,0.700827,0.0128128,0.0311012,0.0759605,0.122153,0.0571461
0.094528,0.20394,4.51336,2140.75,0.682844,0.0124841,0.0494829,0.0512495,0.13894,0.0649997
0.16482,0.225186,2.76578,2105.72,0.629944,0.011517,0.114911,0.0184429,0.153415,0.0717713
0.218404,0.219604,1.56066,1950.12,0.589531,0.0107782,0.169728,0.0103592,0.149612,0.0699924
0.292378,0.203156,0.705289,1716.81,0.533736,0.0097581,0.247346,0.0060036,0.138406,0.0647501
0.341,0.190392,0.43547,1573.83,0.497063,0.00908765,0.298796,0.00466153,0.12971,0.0606818
0.399362,0.174246,0.25415,1417.11,0.453044,0.00828287,0.360735,0.00369256,0.11871,0.0555356
0.469188,0.154378,0.137014,1249.67,0.400378,0.00731998,0.434964,0.0029612,0.105174,0.0492033
0.551539,0.130609,0.0648317,1075.01,0.338264,0.00618431,0.522582,0.00236081,0.0889813,0.0416277
0.645072,0.103436,0.0248488,898.563,0.267716,0.00489448,0.622137,0.00181616,0.0704693,0.0329672
0.744246,0.0745529,0.00698651,727.78,0.192913,0.00352694,0.727713,0.00129482,0.0507914,0.0237615
0.839516,0.0467845,0.00131167,571.51,0.121051,0.00221309,0.829141,0.000810222,0.0318732,0.0149113
0.882461,0.0342769,0.000476412,501.455,0.0886881,0.00162132,0.87482,0.000593391,0.0233519,0.0109248
0.919546,0.0234902,0.000154527,440.183,0.0607782,0.001111,0.914214,0.00040658,0.0160031,0.00748679
0.94942,0.0147448,4.64641e-05,389.366,0.0381501,0.000697307,0.946153,0.00025517,0.010045,0.00469942
0.971272,0.00837432,1.3778e-05,351.428,0.0216672,0.000396019,0.969418,0.000144904,0.00570496,0.00266902
0.985346,0.00428239,4.31555e-06,326.544,0.0110798,0.000202505,0.984361,7.40983e-05,0.00291729,0.00136482
0.993188,0.00205424,1.52484e-06,312.803,0.00531482,9.71252e-05,0.992498,3.55447e-05,0.00139937,0.000654675
0.996998,0.000977627,6.19091e-07,306.11,0.00252931,4.62126e-05,0.99643,1.69152e-05,0.000665955,0.000311555
0.998652,0.00047339,2.7914e-07,302.962,0.00122474,2.2374e-05,0.998271,8.19036e-06,0.000322467,0.000150861
0.999662,0.000127513,7.19308e-08,300.798,0.000329896,6.02602e-06,0.999534,2.20608e-06,8.68595e-05,4.06357e-05
