Z,Yc,omegaYc,T,N2,AR,C7H16,O2,CO2,H2O
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,-0,0,800,0.754253,0.01379,-0,0.231957,-0,-0
-0,-0,0,800,0.754253,0.01379,-0,0.231957,-0,-0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,-0,0,800,0.754253,0.01379,-0,0.231957,-0,-0
-0,-0,0,800,0.754253,0.01379,-0,0.231957,-0,-0
0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
0,0,0,800.005,0.754253,0.01379,-0,0.231957,0,0
1e-06,2.84252e-06,1.30589e-05,800.02,0.754252,0.01379,7.03941e-07,0.231954,1.93655e-06,9.05968e-07
1e-05,2.84187e-05,0.00013056,800.197,0.754243,0.0137898,7.03826e-06,0.231932,1.93611e-05,9.0576e-06
4.1e-05,0.000116425,0.000534876,800.807,0.754212,0.0137892,2.88405e-05,0.231854,7.93176e-05,3.71068e-05
0.000173,0.000489611,0.00224947,803.393,0.75408,0.0137868,0.000121403,0.231523,0.000333562,0.000156049
0.000684,0.00191142,0.00878326,813.239,0.753575,0.0137776,0.000475722,0.230261,0.00130221,0.000609207
0.001388,0.00381435,0.0175313,826.399,0.752896,0.0137651,0.000954215,0.228571,0.00259864,0.00121571
0.002822,0.00751314,0.0345452,851.92,0.751565,0.0137408,0.00189921,0.225282,0.00511854,0.00239458
0.005517,0.0139419,0.0641427,896.075,0.749212,0.0136977,0.00359364,0.219555,0.00949832,0.00444356
0.010111,0.0237842,0.109486,963.112,0.745499,0.0136297,0.00633568,0.210751,0.0162037,0.00758049
0.013242,0.029939,0.137827,1004.65,0.743098,0.0135858,0.00815438,0.205222,0.0203968,0.00954216
0.017065,0.0370328,0.170438,1052.13,0.740248,0.0135336,0.0103615,0.198824,0.0252297,0.0118031
0.021599,0.045,0.206938,1104.93,0.73693,0.013473,0.0129948,0.191602,0.0306576,0.0143424
0.026841,0.0537548,0.246809,1162.26,0.73313,0.0134034,0.0160938,0.183618,0.036622,0.0171327
0.032769,0.063185,0.289353,1223.18,0.728837,0.0133249,0.0196955,0.174958,0.0430466,0.0201383
0.039348,0.0731491,0.333689,1286.55,0.724053,0.0132374,0.0238306,0.16573,0.049835,0.0233141
0.046535,0.0834785,0.378763,1351.08,0.71879,0.0131412,0.0285194,0.156071,0.0568722,0.0266063
0.05027,0.0886244,0.4008,1382.76,0.716039,0.0130909,0.0310259,0.15122,0.060378,0.0282464
0.052185,0.0912045,0.411728,1398.51,0.714625,0.0130651,0.0323291,0.148777,0.0621358,0.0290687
0.054148,0.0938084,0.422667,1414.33,0.713173,0.0130385,0.0336774,0.146303,0.0639097,0.0298986
0.056162,0.0964369,0.433613,1430.2,0.71168,0.0130112,0.0350737,0.143798,0.0657005,0.0307364
0.058231,0.099092,0.444565,1446.13,0.710144,0.0129831,0.0365215,0.141259,0.0675093,0.0315826
0.062561,0.104501,0.46652,1478.28,0.706923,0.0129242,0.0395942,0.136058,0.0711941,0.0333064
0.067147,0.110012,0.488343,1510.58,0.703501,0.0128617,0.0429097,0.130716,0.0749486,0.0350629
0.072022,0.115627,0.509931,1542.97,0.699854,0.012795,0.0465,0.125224,0.078774,0.0368525
0.094976,0.138801,0.589718,1670.02,0.682607,0.0124797,0.0642311,0.101881,0.0945622,0.0442386
0.162137,0.180279,0.648241,1846.39,0.631962,0.0115538,0.122186,0.0540188,0.122821,0.0574586
0.213774,0.192759,0.578181,1848.24,0.593013,0.0108418,0.17106,0.032327,0.131323,0.061436
0.285111,0.194438,0.425593,1754.72,0.537772,0.00983189,0.243927,0.0140313,0.132467,0.0619712
0.332043,0.187896,0.324156,1654.59,0.502581,0.00918852,0.292033,0.00830098,0.12801,0.0598863
0.3884,0.176268,0.216129,1521.34,0.460274,0.00841506,0.350701,0.00434151,0.120088,0.0561802
0.455954,0.159166,0.105616,1358.43,0.409971,0.0074954,0.421184,0.00218374,0.108437,0.0507294
0.535943,0.137162,0.0771939,1175.14,0.350268,0.00640392,0.505214,0.000951655,0.0934457,0.0437162
0.627646,0.110702,0.0244626,980.055,0.281741,0.00515109,0.601933,0.000473497,0.0754192,0.035283
0.726339,0.0815205,0.00645511,786.597,0.207193,0.00378819,0.707236,0.000262938,0.0555382,0.0259822
0.823087,0.0525212,0.00217931,608.747,0.133437,0.00243973,0.811449,0.00015369,0.0357816,0.0167395
0.867602,0.0393109,0.00108723,530.488,0.0998599,0.00182583,0.858893,0.000110508,0.0267817,0.0125292
0.906837,0.0276682,0.000532763,462.241,0.0702782,0.00128499,0.900693,7.58997e-05,0.0188497,0.00881839
0.93935,0.0180658,0.000256083,406.129,0.0458854,0.000838999,0.935161,4.88337e-05,0.0123078,0.00575793
0.964095,0.0108834,0.000121469,364.094,0.0276418,0.000505431,0.96094,2.91606e-05,0.00741456,0.00346877
0.980867,0.00609177,5.75925e-05,335.955,0.0154717,0.000282904,0.978137,1.62381e-05,0.00415015,0.00194161
0.990744,0.0031719,2.71459e-05,318.75,0.00805577,0.000147303,0.988617,8.43098e-06,0.00216091,0.00101098
0.995786,0.00154161,1.25323e-05,309.12,0.00391524,7.15919e-05,0.994467,4.09184e-06,0.00105024,0.000491361
0.998063,0.000737155,5.85429e-06,304.363,0.00187215,3.42332e-05,0.997354,1.95537e-06,0.000502197,0.000234956
