Z,Yc,omegaYc,T,N2,AR,C7H16,O2,CO2,H2O
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
0,0,0,800.004,0.754253,0.01379,-0,0.231957,0,0
1e-06,2.72327e-06,5.06017e-05,800.019,0.754252,0.01379,7.30368e-07,0.231955,1.85531e-06,8.67958e-07
9e-06,2.45044e-05,0.000455323,800.17,0.754244,0.0137898,6.57235e-06,0.231935,1.66944e-05,7.81002e-06
3.5e-05,9.52314e-05,0.00176953,800.661,0.754218,0.0137894,2.55469e-05,0.231872,6.48794e-05,3.03521e-05
0.000152,0.000412345,0.00766215,802.863,0.754101,0.0137872,0.000110709,0.231589,0.000280923,0.000131422
0.000604,0.00162013,0.0301083,811.245,0.753653,0.013779,0.000436399,0.230511,0.00110377,0.000516367
0.001233,0.00325767,0.0605481,822.595,0.753044,0.0137679,0.000881456,0.229049,0.00221939,0.00103828
0.002527,0.00648473,0.120557,844.915,0.751833,0.0137457,0.00177096,0.226165,0.00441792,0.00206681
0.004991,0.0121939,0.226775,884.238,0.749659,0.0137059,0.00338908,0.221052,0.0083075,0.00388645
0.009256,0.0210957,0.392414,945.075,0.746169,0.013642,0.00604243,0.21305,0.0143721,0.00672361
0.012203,0.0267388,0.497331,983.308,0.743887,0.0136002,0.00781839,0.207956,0.0182167,0.0085222
0.015831,0.0332868,0.618854,1027.32,0.741161,0.0135504,0.00998122,0.202021,0.0226777,0.0106092
0.02017,0.0406885,0.755755,1076.59,0.737971,0.013492,0.0125701,0.195278,0.0277203,0.0129682
0.02522,0.0488614,0.90606,1130.37,0.734303,0.0134249,0.0156222,0.187788,0.0332884,0.0155731
0.030964,0.0577058,1.06728,1187.79,0.730145,0.0133489,0.0191753,0.179625,0.0393139,0.018392
0.03737,0.0670943,1.23624,1247.81,0.725494,0.0132638,0.0232612,0.170887,0.04571,0.0213843
0.044439,0.07693,1.41008,1309.59,0.720328,0.0131694,0.0279301,0.161642,0.0524109,0.0245191
0.048196,0.081943,1.49715,1340.61,0.717567,0.0131189,0.0304798,0.156891,0.0558262,0.0261169
0.050142,0.084482,1.54079,1356.2,0.716133,0.0130927,0.0318187,0.154473,0.057556,0.0269261
0.052144,0.0870533,1.58465,1371.9,0.714655,0.0130657,0.0332089,0.152017,0.0593077,0.0277456
0.054206,0.0896585,1.62871,1387.7,0.713129,0.0130378,0.034654,0.14952,0.0610826,0.028576
0.056331,0.0922976,1.67295,1403.62,0.711555,0.013009,0.0361572,0.146982,0.0628805,0.0294171
0.060794,0.09769,1.76196,1435.81,0.708238,0.0129483,0.0393589,0.141764,0.0665543,0.0311358
0.065536,0.103198,1.85073,1468.21,0.704704,0.0128837,0.0428246,0.13639,0.0703065,0.0328911
0.070586,0.108813,1.93872,1500.71,0.700929,0.0128147,0.0465845,0.130858,0.0741325,0.0346811
0.094528,0.132057,2.26614,1628.19,0.682945,0.0124859,0.0652783,0.107234,0.0899677,0.0420892
0.16482,0.173157,2.51674,1800,0.629938,0.0115168,0.126448,0.0589408,0.117968,0.0551885
0.218404,0.185081,2.25856,1797.16,0.589521,0.0107779,0.177391,0.0372291,0.126092,0.0589891
0.292378,0.186179,1.6902,1699.67,0.532476,0.00973501,0.252779,0.0188312,0.12684,0.0593391
0.341,0.179993,1.29359,1601.04,0.495466,0.00905841,0.303217,0.0122651,0.122625,0.0573673
0.399362,0.168185,0.877168,1468.24,0.452171,0.00826687,0.363235,0.00814211,0.114581,0.0536038
0.469188,0.151473,0.588125,1308.82,0.399901,0.00731121,0.43624,0.00507521,0.103196,0.0482776
0.551539,0.129407,0.302445,1127.16,0.338371,0.00618629,0.522706,0.00332931,0.0881625,0.0412447
0.645072,0.103348,0.134769,936.878,0.268819,0.00491469,0.620693,0.00222419,0.0704091,0.0329392
0.744246,0.0745781,0.0498355,747.523,0.193408,0.00353593,0.727051,0.00142749,0.0508085,0.0237695
0.839516,0.0467316,0.0168432,576.842,0.121045,0.00221292,0.829161,0.000849347,0.0318371,0.0148943
0.882461,0.0342382,0.00904922,502.501,0.0886527,0.00162071,0.874876,0.000612566,0.0233256,0.0109124
0.919546,0.023454,0.00467673,438.825,0.0607156,0.00110995,0.914305,0.000415491,0.0159785,0.00747522
0.94942,0.0148392,0.00232948,388.02,0.0384092,0.000702148,0.945788,0.000261295,0.0101095,0.00472952
0.971272,0.00866747,0.00113252,351.536,0.0224326,0.000410069,0.968338,0.00015208,0.00590482,0.00276245
0.985346,0.00470295,0.000543565,328.018,0.0121713,0.000222482,0.982821,8.23566e-05,0.00320392,0.00149889
0.993188,0.00235692,0.000253983,314.059,0.00609961,0.000111492,0.991391,4.12326e-05,0.00160567,0.00075118
0.996998,0.00109962,0.000114476,306.563,0.00284572,5.20146e-05,0.995983,1.92281e-05,0.000749117,0.00035046
0.998652,0.000509267,5.22241e-05,303.04,0.00131794,2.40893e-05,0.99814,8.9034e-06,0.00034694,0.000162309
