Z,Yc,omegaYc,T,N2,AR,C7H16,O2,CO2,H2O
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
0,0,0,800.004,0.754253,0.01379,-0,0.231957,0,0
0,2e-06,0,800.017,0.754253,0.01379,-0,0.231956,1e-06,1e-06
2e-06,2.68234e-08,5.48469e-05,799.998,0.754251,0.01379,2.66166e-06,0.231956,1.8263e-08,8.56444e-09
1.1e-05,1.47485e-07,0.000301554,799.988,0.754242,0.0137898,1.46363e-05,0.231953,1.00416e-07,4.70904e-08
2.5e-05,3.35037e-07,0.000684984,799.974,0.754228,0.0137895,3.32542e-05,0.231949,2.28114e-07,1.06974e-07
6.4e-05,8.56594e-07,0.00175095,799.933,0.754189,0.0137888,8.50589e-05,0.231937,5.83221e-07,2.73501e-07
0.000159,2.12147e-06,0.00433434,799.834,0.754094,0.0137871,0.000210887,0.231906,1.44443e-06,6.77359e-07
0.000382,5.06001e-06,0.0103261,799.603,0.753872,0.013783,0.00050427,0.231836,3.44519e-06,1.61558e-06
0.000598,7.86638e-06,0.0160353,799.382,0.753659,0.0137791,0.000785865,0.231768,5.35598e-06,2.51157e-06
0.000942,1.22574e-05,0.0249419,799.033,0.753324,0.013773,0.00122931,0.231662,8.34576e-06,3.91346e-06
0.001479,1.89286e-05,0.0384102,798.497,0.752809,0.0137636,0.00190988,0.231498,1.28881e-05,6.0432e-06
0.002306,2.87956e-05,0.0581845,797.692,0.752036,0.0137494,0.00293253,0.231253,1.96068e-05,9.19298e-06
0.003554,4.28466e-05,0.0860236,796.516,0.750909,0.0137288,0.00442453,0.230895,2.91748e-05,1.36779e-05
0.005405,6.20908e-05,0.123487,794.845,0.749307,0.0136994,0.0065439,0.230388,4.228e-05,1.98194e-05
0.008105,8.73862e-05,0.17143,792.524,0.747085,0.0136588,0.00948375,0.229685,5.95075e-05,2.78903e-05
0.009895,0.000102687,0.199635,791.042,0.745668,0.0136328,0.0113597,0.229237,6.99292e-05,3.27713e-05
0.010931,0.000111092,0.214854,790.2,0.744863,0.0136181,0.0124252,0.228983,7.56542e-05,3.54522e-05
0.012076,0.000120039,0.230828,789.28,0.743984,0.013602,0.0135886,0.228706,8.1748e-05,3.83055e-05
0.013338,0.000129518,0.247492,788.278,0.743026,0.0135845,0.0148561,0.228404,8.82052e-05,4.13286e-05
0.014729,0.000139546,0.264814,787.185,0.741982,0.0135654,0.0162386,0.228075,9.50363e-05,4.45263e-05
0.01793,0.00016116,0.301027,784.705,0.739611,0.013522,0.0193765,0.227329,0.00010976,5.14175e-05
0.021761,0.000184773,0.338718,781.778,0.736813,0.0134708,0.0230818,0.22645,0.000125847,5.89448e-05
0.026331,0.000210329,0.377125,778.315,0.733499,0.0134102,0.0274696,0.225411,0.000143259,6.70901e-05
0.038074,0.000266053,0.451195,769.448,0.724981,0.0132544,0.0387498,0.222748,0.000181226,8.48467e-05
0.045547,0.000295664,0.484343,763.791,0.719515,0.0131544,0.04599,0.221044,0.0002014,9.4281e-05
0.054362,0.000325883,0.512845,757.105,0.713014,0.0130355,0.0546029,0.219021,0.000221989,0.000103909
0.076729,0.000384338,0.547834,740.187,0.696326,0.0127304,0.0767148,0.213844,0.000261811,0.000122533
0.10697,0.000433321,0.542652,717.76,0.67357,0.0123143,0.106875,0.206808,0.000295175,0.00013814
0.200668,0.000474563,0.400641,653.217,0.602898,0.0110222,0.200563,0.185042,0.000323258,0.000151285
0.270697,0.000459779,0.284174,608.858,0.549089,0.0100385,0.271907,0.168505,0.000313177,0.000146575
0.313653,0.000441089,0.223864,584.081,0.516697,0.0094463,0.314857,0.158558,0.000300454,0.000140609
0.36274,0.000415619,0.165284,556.818,0.47915,0.00875988,0.364643,0.147031,0.000283092,0.000132475
0.418294,0.000383381,0.116151,528.827,0.437868,0.00800518,0.419382,0.13436,0.000261145,0.000122194
0.480322,0.000345141,0.0761812,499.43,0.39163,0.00715987,0.480694,0.12017,0.000235109,0.000109982
0.548285,0.000301736,0.0461005,469.195,0.340859,0.00623169,0.548017,0.10459,0.000205563,9.61237e-05
0.620665,0.000254831,0.0256212,439.139,0.287055,0.00524806,0.619361,0.0880805,0.000173638,8.11502e-05
0.69497,0.000205349,0.0129982,409.612,0.23092,0.00422181,0.693797,0.0708555,0.000139947,6.53748e-05
0.767719,0.000155946,0.00601365,381.8,0.175199,0.00320317,0.767684,0.053758,0.000106287,4.96426e-05
0.834664,0.000111054,0.00260801,357.537,0.124705,0.00228008,0.83464,0.0382643,7.56728e-05,3.53729e-05
0.891465,7.29102e-05,0.00108382,337.491,0.0818629,0.00149687,0.891449,0.0251187,4.96429e-05,2.32634e-05
0.934903,4.38123e-05,0.000446429,322.445,0.0492037,0.00089979,0.934755,0.0150975,2.97911e-05,1.40195e-05
0.964265,2.44892e-05,0.000190142,312.53,0.0275179,0.000503276,0.963511,0.00844349,1.66265e-05,7.862e-06
