Z,Yc,omegaYc,T,N2,AR,C7H16,O2,CO2,H2O
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
0,0,0,800.004,0.754253,0.01379,-0,0.231957,0,0
1e-06,7.61401e-07,1.35774e-05,800.004,0.754252,0.01379,1.16496e-06,0.231956,5.18727e-07,2.42673e-07
8e-06,6.09096e-06,0.000108614,800.034,0.754245,0.0137899,9.31943e-06,0.23195,4.14964e-06,1.94131e-06
3.4e-05,2.58825e-05,0.000461533,800.144,0.754219,0.0137894,3.96036e-05,0.231926,1.76332e-05,8.24927e-06
0.000146,0.000111068,0.00198045,800.617,0.754106,0.0137873,0.000169989,0.231825,7.56685e-05,3.53996e-05
0.000581,0.000440846,0.00785922,802.449,0.75367,0.0137793,0.000675341,0.231435,0.000300339,0.000140506
0.001189,0.000898934,0.0160215,804.993,0.753063,0.0137682,0.00137889,0.230891,0.000612425,0.000286508
0.002443,0.00183347,0.0326596,810.176,0.75182,0.0137455,0.00281994,0.229781,0.00124911,0.000584363
0.00484,0.00358265,0.06375,819.857,0.749477,0.0137027,0.00553859,0.227699,0.00244078,0.00114186
0.009007,0.00651435,0.115702,836.017,0.7455,0.0136299,0.0101612,0.224194,0.00443809,0.00207625
0.011899,0.00847339,0.150301,846.768,0.742806,0.0135807,0.0132991,0.221841,0.00577274,0.00270064
0.01547,0.0108135,0.1915,859.558,0.739546,0.013521,0.0171025,0.219017,0.00736702,0.00344648
0.01975,0.0135121,0.238823,874.23,0.735727,0.0134512,0.0215679,0.215742,0.0092055,0.00430657
0.024743,0.0165265,0.291428,890.516,0.731379,0.0133717,0.0266643,0.212058,0.0112591,0.00526731
0.030432,0.0198022,0.348266,908.081,0.726548,0.0132834,0.0323432,0.208023,0.0134908,0.00631135
0.036789,0.0232828,0.40825,926.581,0.721283,0.0131871,0.0385532,0.203694,0.0158621,0.00742069
0.043842,0.0269463,0.470887,945.853,0.715578,0.0130828,0.0453045,0.199088,0.0183579,0.0085883
0.047605,0.0288233,0.502769,955.644,0.712585,0.013028,0.0488566,0.196707,0.0196367,0.00918656
0.049557,0.0297772,0.518912,960.595,0.711045,0.0129999,0.0506873,0.195491,0.0202866,0.00949058
0.051568,0.0307462,0.53527,965.609,0.709466,0.012971,0.0525654,0.194251,0.0209468,0.00979943
0.05364,0.0317306,0.551844,970.686,0.707848,0.0129414,0.0544926,0.192987,0.0216174,0.0101132
0.055776,0.032731,0.56864,975.825,0.706188,0.0129111,0.0564717,0.191698,0.0222989,0.010432
0.060267,0.0347882,0.603028,986.335,0.702724,0.0128477,0.0606092,0.189031,0.0237005,0.0110877
0.065044,0.0369113,0.638294,997.092,0.699072,0.0127809,0.0649797,0.186256,0.0251469,0.0117643
0.070133,0.0391036,0.674458,1008.1,0.695216,0.0127104,0.0696064,0.183363,0.0266405,0.0124631
0.094314,0.0486594,0.828725,1054.75,0.67724,0.0123817,0.0913225,0.170397,0.0331507,0.0155087
0.165473,0.0704754,1.15246,1149.79,0.625588,0.0114373,0.154969,0.13753,0.0480135,0.0224619
0.219653,0.0822109,1.29898,1189.25,0.586175,0.0107167,0.204622,0.116275,0.0560087,0.0262023
0.294463,0.0926774,1.38991,1205.91,0.531062,0.0097091,0.275373,0.0911784,0.0631393,0.0295382
0.343631,0.0963287,1.39181,1196.36,0.494464,0.00903999,0.323086,0.0770811,0.0656269,0.0307019
0.402646,0.097707,1.34576,1166.67,0.450277,0.00823216,0.381364,0.0624196,0.0665658,0.0311412
0.47321,0.0955605,1.2375,1109.23,0.397237,0.00726244,0.452161,0.0477787,0.0651035,0.0304571
0.556325,0.0885408,1.05968,1017.21,0.334678,0.00611872,0.536658,0.0340041,0.0603211,0.0282198
0.650436,0.075868,0.823726,889.644,0.264017,0.00482685,0.633151,0.0221378,0.0516874,0.0241807
0.74975,0.0583958,0.566683,737.531,0.190142,0.00347625,0.734966,0.0130193,0.039784,0.018612
0.844532,0.0389852,0.336746,583.443,0.120886,0.00221009,0.831089,0.00683006,0.0265599,0.0124255
0.886965,0.0296143,0.24209,512.696,0.0901685,0.00164851,0.873891,0.00467783,0.0201757,0.00943879
0.92335,0.0211583,0.164737,450.46,0.0635183,0.00116128,0.911098,0.0030642,0.0144148,0.00674369
0.952371,0.013945,0.10433,398.414,0.041432,0.000757488,0.941979,0.00188682,0.0095005,0.00444462
0.973307,0.0082797,0.0601549,358.123,0.0244279,0.000446609,0.965778,0.00106741,0.00564083,0.00263895
0.986564,0.00436417,0.0311164,330.536,0.0128211,0.000234406,0.982034,0.000545821,0.00297324,0.00139098
0.993823,0.00206598,0.0145782,314.43,0.00605572,0.000110716,0.991513,0.00025416,0.00140752,0.000658483
0.997297,0.000917901,0.00644479,306.406,0.00268764,4.91377e-05,0.996233,0.000112036,0.000625352,0.00029256
0.998788,0.000414378,0.00290321,302.891,0.00121276,2.21727e-05,0.9983,5.04073e-05,0.00028231,0.000132074
