Z,Yc,omegaYc,T,N2,AR,C7H16,O2,CO2,H2O
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
0,0,0,800.004,0.754253,0.01379,-0,0.231957,0,0
1e-06,7.95331e-07,4.3195e-06,800.004,0.754252,0.01379,1.15744e-06,0.231956,5.41842e-07,2.53486e-07
1e-05,7.95288e-06,4.31925e-05,800.044,0.754243,0.0137898,1.1574e-05,0.231948,5.41813e-06,2.53472e-06
4e-05,3.18058e-05,0.000172737,800.178,0.754213,0.0137893,4.62906e-05,0.23192,2.16686e-05,1.01371e-05
0.000169,0.000134276,0.000729209,800.75,0.754083,0.0137869,0.000195481,0.2318,9.14794e-05,4.27961e-05
0.000667,0.000528384,0.00286885,802.949,0.753584,0.0137778,0.000770056,0.23134,0.000359977,0.000168405
0.001355,0.00106904,0.0058026,805.964,0.752897,0.0137652,0.00156031,0.230708,0.000728316,0.000340722
0.002758,0.00215817,0.011707,812.03,0.751509,0.0137398,0.00315945,0.229433,0.00147031,0.000687845
0.005403,0.00416434,0.022563,823.178,0.748932,0.0136927,0.00613121,0.227079,0.00283708,0.00132725
0.009926,0.00746176,0.0403473,841.425,0.744638,0.0136142,0.0110936,0.223192,0.00508354,0.00237819
0.013017,0.00962593,0.051977,853.345,0.741778,0.0135618,0.0144069,0.220628,0.00655795,0.00306795
0.016798,0.0121828,0.0656701,867.367,0.738351,0.0134992,0.0183831,0.217584,0.00829986,0.00388286
0.021291,0.0151018,0.0812371,883.29,0.734373,0.0134264,0.0230102,0.214088,0.0102885,0.00481321
0.026494,0.0183346,0.0983894,900.812,0.729879,0.0133443,0.0282522,0.21019,0.012491,0.00584357
0.032384,0.0218218,0.116779,919.569,0.724918,0.0132535,0.0340577,0.205949,0.0148668,0.00695501
0.038929,0.0255042,0.136059,939.2,0.719538,0.0131551,0.0403744,0.201429,0.0173755,0.00812866
0.046085,0.0293233,0.155891,959.351,0.71379,0.01305,0.0471481,0.196688,0.0199773,0.00934585
0.049825,0.031241,0.165782,969.385,0.710834,0.012996,0.0506424,0.194286,0.0212838,0.00995706
0.05175,0.0322084,0.170753,974.424,0.709324,0.0129684,0.0524302,0.193069,0.0219429,0.0102654
0.053726,0.0331882,0.175775,979.51,0.707781,0.0129402,0.0542584,0.191832,0.0226104,0.0105777
0.055755,0.0341805,0.180848,984.646,0.706205,0.0129113,0.0561288,0.190575,0.0232865,0.010894
0.057841,0.0351868,0.185978,989.835,0.704591,0.0128818,0.0580449,0.189295,0.023972,0.0112147
0.062213,0.0372513,0.196457,1000.42,0.701232,0.0128204,0.0620406,0.186655,0.0253785,0.0118727
0.066847,0.039377,0.207178,1011.24,0.697703,0.0127559,0.0662495,0.183915,0.0268267,0.0125502
0.071774,0.0415705,0.218166,1022.31,0.69398,0.0126878,0.0706994,0.181063,0.0283211,0.0132493
0.095007,0.0510942,0.264872,1069.12,0.676731,0.0123724,0.0914577,0.168345,0.0348094,0.0162847
0.162955,0.0729362,0.363543,1165.8,0.627411,0.0114706,0.152006,0.136176,0.0496899,0.0232461
0.215047,0.0849497,0.4095,1208.06,0.589542,0.0107782,0.199552,0.115178,0.0578745,0.0270751
0.286976,0.0959255,0.439466,1229.41,0.536612,0.00981053,0.267295,0.0903569,0.0653521,0.0305733
0.334279,0.0999741,0.441621,1223.28,0.501443,0.00916756,0.313026,0.0763899,0.0681103,0.0318637
0.391071,0.101868,0.429378,1197.8,0.458961,0.00839088,0.368929,0.0618511,0.0694006,0.0324673
0.459116,0.100357,0.39811,1145.22,0.407842,0.0074563,0.437039,0.0473064,0.0683713,0.0319858
0.539619,0.0940303,0.344973,1058.07,0.34725,0.00634854,0.518774,0.0335973,0.064061,0.0299693
0.631725,0.0818933,0.27241,933.64,0.278033,0.00508309,0.613232,0.0217583,0.0557924,0.026101
0.730523,0.0644553,0.191038,780.648,0.204356,0.0037361,0.714779,0.0126739,0.0439122,0.0205432
0.826926,0.0443559,0.116238,620.702,0.133652,0.00244346,0.812973,0.00657563,0.0302189,0.0141371
0.871073,0.0344002,0.0849052,545.555,0.101681,0.00185895,0.857567,0.00449291,0.0234363,0.0109641
0.909803,0.0252509,0.0590212,478.338,0.0735192,0.00134409,0.896932,0.00295421,0.017203,0.00804799
0.941694,0.0172642,0.0385332,420.915,0.0497006,0.000908627,0.930281,0.00184601,0.0117619,0.00550249
0.965753,0.0107538,0.0231622,374.86,0.0307142,0.000561514,0.956896,0.00107478,0.00732646,0.00342749
0.981878,0.00598974,0.0125917,341.53,0.0170215,0.000311184,0.976105,0.000572228,0.00408074,0.00190907
0.991257,0.00299489,0.00620676,320.718,0.00848675,0.000155153,0.988084,0.000278721,0.00204038,0.00095454
0.995992,0.00140073,0.00288201,309.679,0.00396375,7.24646e-05,0.994434,0.000128649,0.000954303,0.000446446
0.998112,0.0006661,0.00136605,304.6,0.00188374,3.44381e-05,0.997355,6.0817e-05,0.000453806,0.000212301
