Z,Yc,omegaYc,T,N2,AR,C7H16,O2,CO2,H2O
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
0,0,0,800.003,0.754253,0.01379,-0,0.231957,0,0
1e-06,3e-06,0,800.028,0.754252,0.01379,-0,0.231955,2e-06,1e-06
7e-06,3e-05,0,800.295,0.754248,0.013789,-0,0.231932,2.1e-05,1e-05
2.7e-05,0.000158853,0.0029919,801.381,0.754226,0.0137895,4.87174e-07,0.231825,0.000108225,5.06307e-05
0.000118,0.000674758,0.0128452,805.864,0.754139,0.0137879,2.09856e-06,0.231397,0.000459707,0.000215063
0.000476,0.00249908,0.0495776,821.666,0.753829,0.0137821,8.20648e-06,0.229881,0.0017026,0.000796519
0.000984,0.00479971,0.100748,841.474,0.753438,0.0137748,1.699e-05,0.22797,0.00326997,0.00152977
0.002048,0.00933016,0.21882,880.085,0.752665,0.0137606,3.83726e-05,0.224206,0.00635646,0.00297371
0.004118,0.0181768,0.516016,954.131,0.751141,0.0137327,9.7677e-05,0.216851,0.0123834,0.00579326
0.007802,0.0339606,1.26923,1082.45,0.748369,0.013682,0.000275572,0.203713,0.0231366,0.0108238
0.010414,0.0448768,1.95934,1168.7,0.746398,0.013646,0.00046921,0.19461,0.0305736,0.014303
0.013687,0.0584223,2.98987,1273.33,0.743878,0.0135999,0.000809772,0.183291,0.0398019,0.0186203
0.017661,0.0736606,4.37762,1387.69,0.740902,0.0135455,0.00137827,0.170514,0.0501835,0.023477
0.02235,0.0906264,6.12155,1511.33,0.737367,0.0134809,0.00230479,0.156221,0.061742,0.0288843
0.027758,0.108463,8.08393,1636.94,0.733303,0.0134066,0.00374089,0.141087,0.0738934,0.0345691
0.033912,0.126537,10.0473,1759.3,0.728674,0.0133219,0.00587296,0.125594,0.0862073,0.0403299
0.040865,0.144167,11.7489,1873.08,0.723433,0.0132261,0.00891506,0.110259,0.098218,0.0459488
0.044621,0.152506,12.413,1924.55,0.7206,0.0131743,0.0108223,0.102897,0.103899,0.0486067
0.046578,0.156537,12.6903,1948.78,0.719124,0.0131473,0.0118863,0.0993054,0.106646,0.0498914
0.048599,0.160483,12.929,1972.03,0.7176,0.0131195,0.0130331,0.0957651,0.109334,0.0511491
0.050687,0.164331,13.13,1994.22,0.716025,0.0130907,0.0142678,0.0922855,0.111955,0.0523756
0.052844,0.168081,13.2855,2015.35,0.714398,0.013061,0.015594,0.0888657,0.114511,0.0535709
0.057395,0.175271,13.4601,2054.22,0.710965,0.0129982,0.0185518,0.0822136,0.119409,0.0558624
0.062252,0.181947,13.4728,2087.92,0.707302,0.0129313,0.0219297,0.0758907,0.123957,0.0579901
0.067439,0.188054,13.3096,2116.09,0.70339,0.0128597,0.0257632,0.0699336,0.128117,0.0599366
0.078968,0.198477,12.5465,2155.13,0.694694,0.0127008,0.0349822,0.059146,0.135219,0.0632587
0.092147,0.20628,11.3647,2169.93,0.684754,0.012519,0.0464318,0.0500151,0.140535,0.0657457
0.16711,0.214681,5.72984,2018.58,0.628214,0.0114851,0.119532,0.0260877,0.146258,0.0684235
0.224097,0.207242,3.45795,1843.94,0.585231,0.0106992,0.178168,0.0186593,0.14119,0.0660526
0.303013,0.190093,1.85547,1606.38,0.525709,0.00961113,0.260883,0.0137034,0.129507,0.0605867
0.354954,0.177109,1.24328,1465.21,0.486533,0.00889508,0.315701,0.0117627,0.120661,0.0564482
0.417347,0.16069,0.760191,1313.14,0.439473,0.0080348,0.381732,0.0100709,0.109475,0.0512149
0.49178,0.140525,0.401923,1152.28,0.383331,0.00700816,0.460633,0.00850224,0.0957368,0.0447878
0.578923,0.116578,0.167376,985.888,0.317604,0.00580619,0.553083,0.00692928,0.0794221,0.0371555
0.676029,0.0897353,0.0485211,819.757,0.244361,0.00446712,0.656138,0.0052988,0.061135,0.0286003
0.775976,0.0620587,0.00836612,660.726,0.168975,0.00308917,0.762218,0.00365867,0.0422794,0.0197791
0.868124,0.0365332,0.000703857,517.522,0.0994715,0.00181889,0.860024,0.0021531,0.024889,0.0116437
0.907855,0.025527,0.000125858,455.036,0.0695038,0.00127095,0.902194,0.00150438,0.0173906,0.00813611
0.940599,0.016456,1.55764e-05,402.103,0.0448059,0.000819307,0.93695,0.000970008,0.0112108,0.00524515
0.965299,0.00961326,1.70583e-06,360.787,0.026175,0.000478553,0.963167,0.000566894,0.0065491,0.00306416
0.981834,0.00505089,2.01725e-07,332.387,0.0137529,0.000251273,0.980647,0.000297965,0.00344092,0.00160998
0.991437,0.00237187,3.05658e-08,315.34,0.00645836,0.000117813,0.990912,0.000139928,0.00161583,0.000756099
0.996278,0.00103389,6.54865e-09,306.717,0.00281514,5.12066e-05,0.996039,6.09653e-05,0.00070438,0.000329658
0.998443,0.000451399,1.98588e-09,302.938,0.00122901,2.22856e-05,0.99827,2.65927e-05,0.000307557,0.000143969
0.999325,0.000212573,7.97529e-10,301.385,0.000578732,1.04729e-05,0.999186,1.25133e-05,0.000144842,6.781e-05
