Z,Yc,omegaYc,T,N2,AR,C7H16,O2,CO2,H2O
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,-0,0,800,0.754253,0.01379,-0,0.231957,-0,-0
-0,-0,0,800,0.754253,0.01379,-0,0.231957,-0,-0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,-0,0,800,0.754253,0.01379,-0,0.231957,-0,-0
-0,-0,0,800,0.754253,0.01379,-0,0.231957,-0,-0
0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
0,0,0,800.005,0.754253,0.01379,-0,0.231957,0,0
1e-06,4e-06,0,800.044,0.754252,0.01379,-0,0.231954,3e-06,1e-06
1e-05,5.98842e-05,3.33005e-05,800.527,0.754243,0.0137898,2.39151e-08,0.231907,4.07976e-05,1.90861e-05
4.1e-05,0.000243022,0.000135829,802.137,0.754212,0.0137892,9.76357e-08,0.231755,0.000165565,7.74551e-05
0.000173,0.000985896,0.000563025,808.663,0.754088,0.0137869,4.06281e-07,0.231139,0.000671665,0.000314221
0.000684,0.00351255,0.00217658,830.75,0.753665,0.013779,1.5944e-06,0.229042,0.00239301,0.00111951
0.001388,0.00663177,0.0045792,857.772,0.753142,0.0137693,3.42471e-06,0.226453,0.00451805,0.00211366
0.002822,0.0128377,0.0108992,910.766,0.752101,0.0137502,8.50546e-06,0.221303,0.00874597,0.00409158
0.005517,0.0247835,0.0297218,1010.31,0.750092,0.0137134,2.51465e-05,0.211386,0.0168844,0.00789895
0.010111,0.0452389,0.0882568,1174.43,0.746627,0.01365,8.59409e-05,0.194398,0.0308202,0.0144185
0.013242,0.0592583,0.152159,1283.15,0.744225,0.0136061,0.000163775,0.182747,0.0403714,0.0188868
0.017065,0.075927,0.258203,1408.83,0.741326,0.0135531,0.00031425,0.16888,0.0517274,0.0241994
0.021599,0.0949742,0.427402,1548.13,0.737928,0.013491,0.000598057,0.153009,0.0647039,0.0302702
0.026841,0.11611,0.671814,1697.92,0.733999,0.0134192,0.00112385,0.135348,0.0791034,0.0370067
0.032769,0.138663,0.991834,1852.47,0.729535,0.0133376,0.00204453,0.11642,0.0944683,0.0441948
0.039348,0.161485,1.36143,2003.06,0.724577,0.013247,0.00356067,0.097131,0.110016,0.0514685
0.046535,0.18334,1.72745,2140.96,0.719157,0.0131479,0.00590388,0.078452,0.124906,0.0584342
0.05027,0.193335,1.88163,2201.47,0.71634,0.0130964,0.00742355,0.0698052,0.131715,0.06162
0.052185,0.198092,1.94872,2229.58,0.714895,0.01307,0.00828477,0.0656583,0.134956,0.063136
0.054148,0.202712,2.0078,2256.4,0.713415,0.013043,0.00922369,0.0616072,0.138103,0.0646084
0.056162,0.20718,2.05902,2281.79,0.711896,0.0130152,0.0102479,0.0576621,0.141147,0.0660324
0.058231,0.211489,2.10095,2305.73,0.710335,0.0129867,0.0113622,0.0538279,0.144083,0.0674058
0.062561,0.219608,2.15241,2349.02,0.707069,0.0129269,0.0138928,0.0465031,0.149615,0.0699937
0.067147,0.226952,2.16189,2385.47,0.70361,0.0128637,0.0168514,0.0397227,0.154618,0.0723344
0.072022,0.233437,2.11557,2414.5,0.699933,0.0127965,0.0202893,0.0335443,0.159036,0.0744012
0.094976,0.249875,1.53432,2450.42,0.68262,0.01248,0.0396004,0.0154244,0.170235,0.0796404
0.162137,0.245333,0.33248,2211.08,0.631965,0.011554,0.107767,0.0033811,0.167141,0.0781925
0.213774,0.232098,0.12094,1998.01,0.593018,0.010842,0.162336,0.00170577,0.158124,0.0739743
0.285111,0.211826,0.0421813,1739.81,0.539212,0.00985822,0.238165,0.000939268,0.144313,0.067513
0.332043,0.198118,0.0245376,1592.54,0.503813,0.00921106,0.288135,0.000723535,0.134974,0.0631439
0.3884,0.181518,0.0138483,1436.23,0.461306,0.00843391,0.34817,0.000572184,0.123665,0.0578534
0.455954,0.16153,0.00733584,1271.71,0.410354,0.00750223,0.420153,0.000461825,0.110047,0.0514828
0.535943,0.137809,0.0033606,1100.86,0.350022,0.00639922,0.505398,0.000372676,0.0938862,0.0439225
0.627646,0.110586,0.0011868,927.764,0.280854,0.00513496,0.603134,0.000291485,0.07534,0.035246
0.726339,0.0812775,0.000276941,758.42,0.206414,0.00377411,0.708323,0.000212339,0.0553728,0.0259045
0.823087,0.0525443,3.48918e-05,600.764,0.133441,0.00244,0.811438,0.000137139,0.0357971,0.0167467
0.867602,0.0393233,7.98412e-06,528.896,0.0998655,0.00182607,0.858883,0.000102688,0.0267899,0.0125332
0.906837,0.0276704,1.27968e-06,464.514,0.0702718,0.00128485,0.900701,7.22127e-05,0.0188511,0.00881926
0.93935,0.0180139,1.47812e-07,409.486,0.045748,0.000836316,0.935355,4.70397e-05,0.0122724,0.00574148
0.964095,0.0106642,1.25886e-08,366.086,0.0270827,0.000495127,0.96173,2.79075e-05,0.00726524,0.00339894
0.980867,0.00569906,1.00782e-09,335.833,0.0144734,0.000264719,0.979548,1.48938e-05,0.00388268,0.00181638
0.990744,0.00274892,1.07331e-10,317.439,0.00698116,0.000127765,0.990135,7.14887e-06,0.00187286,0.000876061
0.995786,0.00125323,1.91294e-11,307.988,0.00318255,5.82764e-05,0.995503,3.22512e-06,0.000853821,0.000399411
0.998063,0.000592283,5.59367e-12,303.783,0.0015039,2.75407e-05,0.997875,1.50457e-06,0.00040347,0.000188812
