Z,Yc,omegaYc,T,N2,AR,C7H16,O2,CO2,H2O
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
0,0,0,800.003,0.754253,0.01379,-0,0.231957,0,0
1e-06,3e-06,0,800.031,0.754252,0.01379,-0,0.231955,2e-06,1e-06
7e-06,3.3e-05,0,800.324,0.754247,0.013789,-0,0.23193,2.2e-05,1.1e-05
3e-05,0.00017704,0.00213504,801.542,0.754223,0.0137894,3.84229e-07,0.23181,0.00012061,5.64305e-05
0.000128,0.000732782,0.00894797,806.38,0.754129,0.0137877,1.61569e-06,0.231349,0.000499216,0.00023357
0.000514,0.00269102,0.0344815,823.367,0.753798,0.0137815,6.30858e-06,0.229723,0.0018333,0.000857734
0.001059,0.00514929,0.0704519,844.551,0.753382,0.0137738,1.31318e-05,0.227681,0.00350805,0.00164126
0.002191,0.00998761,0.155271,885.789,0.752561,0.0137586,3.00883e-05,0.223663,0.0068043,0.00318334
0.004381,0.019439,0.376187,964.809,0.750944,0.013729,7.8638e-05,0.215809,0.0132434,0.00619566
0.008243,0.0361605,0.957704,1100.37,0.748036,0.0136758,0.000229285,0.201898,0.0246355,0.0115251
0.010959,0.0476605,1.50703,1190.85,0.745987,0.0136383,0.000397478,0.192316,0.0324702,0.0151903
0.014342,0.0618365,2.3477,1299.8,0.743391,0.0135909,0.000697847,0.180483,0.0421281,0.0197084
0.018428,0.0780635,3.5136,1421.05,0.740288,0.0135341,0.00121626,0.166898,0.0531832,0.0248803
0.023228,0.0956331,4.99737,1548.22,0.73671,0.0134687,0.00206667,0.152121,0.0651531,0.03048
0.028731,0.114317,6.71887,1679.06,0.732572,0.0133931,0.00341235,0.136305,0.0778821,0.036435
0.034945,0.133158,8.4642,1805.93,0.727896,0.0133076,0.00543749,0.120201,0.0907184,0.0424401
0.041919,0.151445,9.99453,1923.36,0.722638,0.0132115,0.00835591,0.104349,0.103177,0.0482685
0.04567,0.160056,10.5931,1976.27,0.719809,0.0131598,0.010198,0.0967765,0.109043,0.0510131
0.047622,0.164212,10.8419,2001.14,0.718337,0.0131329,0.0112294,0.0930889,0.111875,0.0523375
0.049634,0.16827,11.0547,2024.95,0.716819,0.0131051,0.0123425,0.0894636,0.114639,0.0536308
0.051712,0.172222,11.2285,2047.65,0.715252,0.0130765,0.0135441,0.0859049,0.117332,0.0548906
0.053856,0.176067,11.3638,2069.2,0.713635,0.0130469,0.0148365,0.0824151,0.119951,0.0561159
0.058373,0.183411,11.5086,2108.71,0.710228,0.0129846,0.0177261,0.0756506,0.124954,0.0584566
0.063187,0.190203,11.4945,2142.82,0.706597,0.0129182,0.0210351,0.0692472,0.129581,0.0606213
0.068322,0.196373,11.3149,2171.02,0.702724,0.0128474,0.0248027,0.0632534,0.133785,0.0625878
0.079714,0.206789,10.5482,2209.31,0.694131,0.0126903,0.0338862,0.0525028,0.140881,0.0659077
0.092717,0.214409,9.40024,2222.22,0.684324,0.012511,0.0452004,0.0435557,0.146072,0.0683362
0.166263,0.221066,4.38933,2058.25,0.628852,0.011497,0.117271,0.0213146,0.150608,0.0704579
0.222182,0.21276,2.5455,1877.66,0.586675,0.0107259,0.17503,0.0148093,0.144949,0.0678105
0.299513,0.195102,1.32936,1636.63,0.528348,0.00965937,0.256273,0.0106166,0.132919,0.0621827
0.350377,0.18198,0.886652,1494.31,0.489985,0.00895804,0.310044,0.00903227,0.12398,0.0580008
0.411454,0.165506,0.544554,1341.37,0.443918,0.00811591,0.374772,0.00768846,0.112756,0.0527503
0.484381,0.145328,0.292896,1179.6,0.388912,0.00711019,0.45217,0.00647927,0.0990091,0.046319
0.569954,0.121349,0.126116,1011.89,0.324369,0.00593016,0.543057,0.00529561,0.0826725,0.0386762
0.665919,0.0943115,0.0385171,843.758,0.251987,0.00460692,0.645013,0.00408167,0.0642525,0.0300592
0.765666,0.0661606,0.00713927,681.985,0.176751,0.0032313,0.751,0.00285704,0.0450741,0.0210871
0.858901,0.0398383,0.000659593,535.159,0.106428,0.00194597,0.850069,0.00171991,0.027141,0.0126975
0.899733,0.0283101,0.000124765,470.365,0.0756299,0.00138299,0.893456,0.0012222,0.0192869,0.00902324
0.933959,0.0186467,1.62762e-05,414.651,0.0498144,0.000910952,0.929824,0.000805127,0.0127037,0.0059433
0.960407,0.0111788,1.80172e-06,370.106,0.0298641,0.000546082,0.957929,0.000482846,0.00761613,0.00356306
0.978686,0.00602728,2.04138e-07,338.376,0.0161014,0.00029435,0.977317,0.000260443,0.00410634,0.00192096
0.989687,0.00291196,2.78146e-08,318.72,0.00777861,0.000142165,0.989042,0.000125874,0.00198372,0.000927858
0.995418,0.00129482,5.36642e-09,308.366,0.00345833,6.31847e-05,0.995128,5.59594e-05,0.000881895,0.000412366
0.99805,0.000566684,1.501e-09,303.67,0.00151327,2.76184e-05,0.997868,2.44668e-05,0.00038586,0.000180351
0.999144,0.000268219,5.80526e-10,301.739,0.000716149,1.30559e-05,0.998991,1.15688e-05,0.000182595,8.53186e-05
