Z,Yc,omegaYc,T,N2,AR,C7H16,O2,CO2,H2O
-0,-0,0,800,0.754253,0.01379,-0,0.231957,-0,-0
-0,-0,0,800,0.754253,0.01379,-0,0.231957,-0,-0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
-0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
0,0,0,800,0.754253,0.01379,-0,0.231957,0,0
0,0,0,800.005,0.754253,0.01379,-0,0.231957,0,0
1e-06,1.33017e-06,2.45959e-06,800.008,0.754252,0.01379,1.02896e-06,0.231956,9.06216e-07,4.23951e-07
1e-05,1.33005e-05,2.45936e-05,800.081,0.754243,0.0137898,1.02889e-05,0.231944,9.06136e-06,4.23914e-06
4.2e-05,5.58448e-05,0.000103259,800.342,0.754211,0.0137892,4.32042e-05,0.231901,3.80458e-05,1.77988e-05
0.000179,0.000237687,0.000439459,801.456,0.754075,0.0137867,0.000183963,0.231717,0.000161931,7.57553e-05
0.000704,0.00093006,0.0017191,805.694,0.753554,0.0137772,0.00072099,0.231018,0.000633629,0.000296428
0.001426,0.00187092,0.00345679,811.448,0.752844,0.0137642,0.00145354,0.230067,0.00127461,0.000596297
0.002893,0.00374387,0.00691179,822.887,0.751424,0.0137382,0.00292165,0.228173,0.00255061,0.00119324
0.005643,0.00712495,0.0131337,843.482,0.748833,0.0136909,0.00560684,0.224744,0.00485407,0.00227086
0.010316,0.0125283,0.0230327,876.232,0.744617,0.0136137,0.00999964,0.219242,0.00853526,0.00399302
0.013491,0.0159873,0.0293376,897.083,0.741863,0.0135634,0.0128838,0.215702,0.0108918,0.00509546
0.017359,0.0200021,0.0366207,921.165,0.738609,0.0135039,0.0163089,0.211576,0.013627,0.00637505
0.021941,0.0245121,0.0447529,948.05,0.734871,0.0134355,0.0202647,0.206916,0.0166996,0.00781249
0.02723,0.0294342,0.0535618,977.175,0.730684,0.0133589,0.0247251,0.201797,0.0200529,0.00938125
0.033204,0.0346834,0.0628712,1007.96,0.726082,0.0132748,0.0296631,0.196296,0.0236291,0.0110543
0.039827,0.0401776,0.07251,1039.87,0.721099,0.0131837,0.0350523,0.190487,0.0273721,0.0128054
0.047056,0.0458436,0.0823241,1072.39,0.715763,0.0130861,0.0408712,0.184436,0.0312323,0.0146113
0.050806,0.0486635,0.087156,1088.43,0.713027,0.0130361,0.0438745,0.181399,0.0331534,0.01551
0.052717,0.0500717,0.0895552,1096.4,0.711639,0.0130107,0.0454026,0.179876,0.0341128,0.0159589
0.05467,0.0514918,0.0919648,1104.41,0.710224,0.0129848,0.0469633,0.178336,0.0350802,0.0164115
0.05667,0.0529266,0.0943894,1112.47,0.70878,0.0129584,0.0485609,0.176775,0.0360578,0.0168688
0.058721,0.0543783,0.0968317,1120.6,0.707301,0.0129314,0.050199,0.17519,0.0370468,0.0173314
0.063009,0.0573515,0.101799,1137.15,0.704221,0.012875,0.0536244,0.171928,0.0390724,0.0182791
0.067546,0.060411,0.106859,1154.04,0.700973,0.0128156,0.0572527,0.168548,0.0411567,0.0192542
0.072367,0.0635702,0.112026,1171.33,0.697531,0.0127527,0.0611159,0.16503,0.0433091,0.0202611
0.095041,0.0772912,0.133684,1244.4,0.681399,0.0124578,0.0794633,0.149389,0.0526569,0.0246343
0.161497,0.108516,0.175987,1393.71,0.633926,0.0115898,0.135484,0.110484,0.07393,0.0345864
0.212756,0.124793,0.190733,1454.45,0.597179,0.010918,0.180598,0.0865126,0.0850191,0.0397741
0.283603,0.136348,0.191507,1463.67,0.540452,0.00988084,0.253247,0.0600724,0.0928915,0.0434571
0.330224,0.139362,0.182234,1442.63,0.505301,0.00923821,0.299182,0.0469172,0.0949443,0.0444174
0.386211,0.138671,0.16494,1392.42,0.463045,0.00846564,0.355359,0.0344597,0.0944735,0.0441972
0.453341,0.132893,0.139301,1305.77,0.412353,0.00753887,0.423847,0.0233679,0.0905372,0.0423557
0.532885,0.120793,0.107051,1178.26,0.352278,0.00644054,0.506177,0.0143113,0.0822939,0.0384992
0.624232,0.10197,0.0727218,1012.91,0.283298,0.0051794,0.601802,0.00774948,0.0694704,0.0325001
0.722815,0.0778249,0.0426083,824.832,0.208923,0.0038196,0.705761,0.00367136,0.0530207,0.0248045
0.819823,0.0520131,0.0343652,637.6,0.133526,0.00244113,0.811443,0.000576492,0.0354356,0.0165777
0.864624,0.0395802,0.0222954,554.246,0.101415,0.00185403,0.856772,0.000378872,0.0269653,0.0126151
0.904252,0.0285942,0.0139072,482.098,0.0731547,0.00133736,0.896674,0.000239647,0.0194807,0.0091136
0.937248,0.019436,0.00832957,422.943,0.0496682,0.000907976,0.929842,0.000145528,0.0132414,0.00619469
0.962528,0.0122467,0.00475086,377.089,0.031271,0.000571643,0.955827,8.40161e-05,0.00834343,0.00390327
0.979814,0.00701507,0.00253871,344.017,0.0179034,0.00032727,0.974709,4.53093e-05,0.00477925,0.00223585
0.990097,0.00362557,0.00125827,322.708,0.00925021,0.000169089,0.986932,2.25881e-05,0.00247004,0.00115555
0.995396,0.00174245,0.000591726,310.903,0.004445,8.12516e-05,0.993721,1.06556e-05,0.0011871,0.000555355
0.997809,0.000843312,0.000283554,305.275,0.00215115,3.93215e-05,0.996961,5.11353e-06,0.000574535,0.000268781
